quantity,p0,p5,p25,p50,p75,p95,p100
mean_nrmse,0.1815320135012774,0.18815764356876902,0.1981671790941585,0.209893517159976,0.5236214738814067,0.7924589409100519,4.938514405989363
median_nrmse,0.1463925381600339,0.1520488999316647,0.1607190121523975,0.1684881379569197,0.1736492280298237,0.1813243599795832,0.1929089255793197
Delta_0,-0.7409277914706163,-0.7343021614031247,-0.7242926258777351,-0.7125662878119177,-0.3988383310904871,-0.13000086406184178,4.016054601017468
Delta_1,-0.028742202610451,-0.022116572542959376,-0.0121070370175699,-0.0003806989517524,0.3133472577696781,0.5821847247983234,4.728240189877635
