support_id,support_size,is_C_dev_star,development_bootstrap_selection_frequency,n_atoms,contains_PROD_gasa_gasa,contains_prmtan_neped_atom,n_prmtan_neped_atoms,contains_pcdiamag3,n_discharges_evaluable,n_blocks_eligible,n_blocks_not_applicable,not_applicable_reasons,full_domain,mean_nrmse,median_nrmse,max_discharge_nrmse,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse_earlier,mean_nrmse_later,median_nrmse_earlier,median_nrmse_later,Delta_1_earlier,Delta_1_later
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(prmtan_neped,cerqtit6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(pinj_33r,cerqtit10)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,False,0.018,12,True,True,4,True,42,126,0,,True,0.6270706472422346,0.16030294899218894,16.30667840763019,-0.2953891577296591,0.4167964311305061,False,0.9768361275103746,0.16071667355138108,0.17834374713421242,0.1406074854840506,0.7664610246389666,-0.04942302688077477
"ID(pcdiamag3)|PROD(ece37,ece39)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasa,ece6)|RATIO(ip,ece22)",11,False,0.018,11,False,True,4,True,42,126,0,,True,0.3786776708513784,0.17446012104547748,7.543175323751616,-0.5437821341205152,0.16840345473964993,False,0.5179005400459663,0.193047178591928,0.17615585717035978,0.16513203219561312,0.30752543717455827,-0.017092521840227876
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,pinj)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,bt)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.017,12,False,True,5,True,42,126,0,,True,0.20989351715997603,0.17233285753707167,0.6071695898361159,-0.7125662878119177,-0.0003806989517524732,False,0.21915164539800666,0.19754934617593528,0.2077615009885896,0.14062462875490253,0.008776542526598624,-0.012590354256220616
"ID(pcdiamag3)|PROD(bt,bt)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasd,bt)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",12,False,0.017,12,False,True,5,True,42,126,0,,True,0.19997030057477697,0.17231354639099886,0.6507199055415663,-0.7224895043971168,-0.01030391553695158,True,0.23003848947279293,0.159879382044089,0.1836101489706398,0.1557823536083623,0.0196633866013849,-0.05026031838806688
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(prmtan_neped,cerqtit6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(pinj_33r,cerqtit10)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,False,0.016,12,False,True,4,True,42,126,0,,True,0.1848953133822907,0.16567830088010682,0.4323155648405958,-0.737564491589603,-0.02537890272943783,True,0.20148261784574875,0.16277890743101323,0.17993680002498424,0.14269887147160315,-0.008892485025659263,-0.047360793001142605
"ID(pcdiamag3)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit6,ece22)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)",12,False,0.012,12,True,True,3,True,42,126,0,,True,0.6966150605620326,0.14864673643410234,13.756301866150324,-0.22584474440986102,0.4863408444503041,False,1.1014098327700192,0.15688869761805052,0.17455561133493713,0.13741344740907302,0.8910347298986112,-0.053251002814105344
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,cerqtit10)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",12,False,0.012,12,True,True,5,True,42,126,0,,True,0.7196494532148149,0.17202150075724476,12.718880698059762,-0.2028103517570787,0.5093752371030865,False,1.126458997933234,0.1772367269235896,0.18081145918778957,0.16991152164401696,0.916083895061826,-0.03290297350856625
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(ip,prmtan_neped)|PROD(pinj,ece36)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(pinj,bt)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.012,12,False,True,3,True,42,126,0,,True,0.18911938472885878,0.16437089251330636,0.3986005996768582,-0.7333404202430349,-0.021154831382869718,True,0.20721176086725013,0.16499621654433705,0.21196259356736624,0.14291928910495597,-0.003163342004157882,-0.045143483887818844
"ID(pcdiamag3)|PROD(bt,gasd)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_teped,prmtan_neped)|RECIP(bt)|RECIP(cerqtit10)",12,False,0.012,12,False,True,4,True,42,126,0,,True,0.1982520322201749,0.17236118292819,0.48841596420724476,-0.7242077727517188,-0.012022183891553587,True,0.2115680813318812,0.1804973000712332,0.19250051764352138,0.1460089909723124,0.001192978460473217,-0.029642400360922663
"ID(pcdiamag3)|LEVEL_RATE(cerqrott12|cerqtit8)|PROD(ece37,ece39)|PROD(fs03da,cerqtit11)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(ece39,bt)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,bt)",12,False,0.012,12,True,True,4,True,42,126,0,,True,0.49160049296217734,0.15201996273739937,7.979574694981909,-0.4308593120097162,0.28132627685044886,False,0.7266126260848836,0.1782509821319024,0.16465560103836646,0.138698830170096,0.5162375232134756,-0.031888718300253444
