omitted_block,blocks_used,n_discharges_evaluable,n_blocks_eligible,n_blocks_not_applicable,not_applicable_reasons,full_domain,mean_nrmse,median_nrmse,max_discharge_nrmse,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse_earlier,mean_nrmse_later,median_nrmse_earlier,median_nrmse_later,Delta_1_earlier,Delta_1_later
A,B+C,42,84,0,,True,1.0091125765545899,0.15873722359472656,17.852901503821162,0.14444240372166745,0.807979707232033,False,1.6226833086586552,0.1910182670825028,0.1485305372936225,0.17492408208421045,1.42604051378574,-0.01610136817290974
B,A+C,42,84,0,,True,0.18981551210104652,0.17247975514639513,0.4551676876559494,-0.7298645694514735,-0.011397746330539832,True,0.2099118784377404,0.1630203569854546,0.18142091381778241,0.16332882887401168,0.012420032442968463,-0.04315478469521756
C,A+B,42,84,0,,True,1.0281662457047607,0.16919058361044914,17.826415597928232,0.045137085174521856,0.7996897251237185,False,1.6602206975506473,0.1854269765769118,0.18662566711455675,0.14733223322559158,1.4232300298041105,-0.03169734778347108
