support_id,support_size,is_C_dev_star,full_domain,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse,median_nrmse
"ID(pcdiamag3)|PROD(bt,bt)|PROD(fs03da,cerqtit11)|PROD(gasa,cerqtit6)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|PROD(prmtan_neped,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(gasd,bt)|RATIO(ip,ece22)|RATIO(prmtan_neped,cerqtit10)",12,False,True,-0.7224895043971168,-0.01030391553695158,True,0.19997030057477697,0.17231354639099886
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(prmtan_neped,cerqtit6)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(ip,ece22)|RATIO(pinj_33r,cerqtit10)|RATIO(prmtan_neped,cerqtit10)|RECIP(bt)",12,False,True,-0.737564491589603,-0.02537890272943783,True,0.1848953133822907,0.16567830088010682
"ID(pcdiamag3)|PROD(bt,bt)|PROD(ece37,ece39)|PROD(fs03da,ece39)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(cerqtit6,ece22)|RATIO(cerqtit8,ece22)|RATIO(ip,bt)|RATIO(prmtan_neped,cerqtit10)",12,False,True,-0.22584474440986102,0.4863408444503041,False,0.6966150605620326,0.14864673643410234
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,cerqtit10)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",12,False,True,-0.2028103517570787,0.5093752371030865,False,0.7196494532148149,0.17202150075724476
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(ip,prmtan_neped)|PROD(pinj,ece36)|PROD(prmtan_neped,ece39)|RATIO(cerqrott12,cerqtit10)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(pinj,bt)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7333404202430349,-0.021154831382869718,True,0.18911938472885878,0.16437089251330636
"ID(pcdiamag3)|PROD(bt,gasd)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_teped,prmtan_neped)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7242077727517188,-0.012022183891553587,True,0.1982520322201749,0.17236118292819
"ID(pcdiamag3)|LEVEL_RATE(cerqrott12|cerqtit8)|PROD(ece37,ece39)|PROD(fs03da,cerqtit11)|PROD(gasa,gasa)|PROD(ip,prmtan_neped)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(ece39,bt)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RATIO(prmtan_neped,bt)",12,False,True,-0.4308593120097162,0.28132627685044886,False,0.49160049296217734,0.15201996273739937
"ID(pcdiamag3)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(gasc,pinj)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7143982017522712,-0.0022126128921059994,False,0.20806160321962258,0.16403683373731154
"ID(pcdiamag3)|LEVEL_RATE(cerqrott12|ece33)|PROD(fs03da,cerqtit11)|PROD(gasa,ece1)|PROD(ip,prmtan_neped)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,ece39)|RATIO(ece25,ece39)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(bt)|RECIP(cerqtit10)",12,False,True,-0.7189149561522862,-0.006729367292120935,False,0.20354484881960758,0.16508185208957427
"ID(pcdiamag3)|ID(prmtan_neped)|PROD(bt,cerqtit6)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|PROD(prmtan_neped,prmtan_neped)|RATIO(ece21,prmtan_neped)|RATIO(fs03da,prmtan_neped)|RATIO(ip,ece22)|RECIP(cerqtit10)|RECIP(prmtan_neped)",12,False,True,-0.182134793106392,0.5300507957537731,False,0.7403250118655015,0.17005357124926096
