sensitivity,support,support_size,paired_mean_diff_vs_C_dev_star,n_discharges_evaluable,n_blocks_eligible,n_blocks_not_applicable,not_applicable_reasons,full_domain,mean_nrmse,median_nrmse,max_discharge_nrmse,Delta_0,Delta_1,V3_STYLE_PASS,mean_nrmse_earlier,mean_nrmse_later,median_nrmse_earlier,median_nrmse_later,Delta_1_earlier,Delta_1_later,paired_mean_diff_vs_prmtan_only,paired_mean_diff_vs_minus_prmtan
PRIMARY_MINUS_PRMTAN_NEPED_ANCESTRY,"ID(cerqtit6)|ID(pcdiamag3)|PROD(ece37,ece39)|PROD(gasa,gasa)|PROD(pinj,cerqrott6)|RATIO(ip,ece22)|RECIP(cerqtit10)",7,0.09275363291312841,42,126,0,,True,0.8351184110332609,0.17644979700359717,13.779070947794525,-0.08734139393863295,0.6248441949215324,False,1.3145812411985716,0.19583463747951313,0.1834824069389276,0.16838961313044296,1.1042061383271635,-0.014305062952642746,0.3719442428286675,
PRMTAN_NEPED_ONLY,ID(prmtan_neped),1,-0.27919060991553907,42,126,0,,True,0.46317416820459345,0.4660059694354572,0.9577664902913003,-0.45928563676730033,0.2528999520928648,False,0.5691649177302466,0.3218531688370559,0.572516413656595,0.30857717409850255,0.35878981485883843,0.1117134684049,,-0.3719442428286675
