coordinate_id,group,n_supports,share,group_size,in_C_dev_star
RATE_OVER_LEVEL(cerqrott3|prmtan_neped),ALL_217,1,0.004608294930875576,217,False
RATE_OVER_LEVEL(ece33|ece39),ALL_217,1,0.004608294930875576,217,False
RATE_OVER_LEVEL(gasa|ece39),ALL_217,1,0.004608294930875576,217,False
"RATIO(bt,ece39)",ALL_217,1,0.004608294930875576,217,False
"RATIO(fs03da,cerqtit10)",ALL_217,1,0.004608294930875576,217,False
"RATIO(gasd,ip)",ALL_217,1,0.004608294930875576,217,False
"RATIO(pinj_33r,prmtan_neped)",ALL_217,1,0.004608294930875576,217,False
ID(pcdiamag3),FULL_DOMAIN,213,1.0,213,True
"RATIO(ip,ece22)",FULL_DOMAIN,182,0.8544600938967136,213,True
"RATIO(fs03da,prmtan_neped)",FULL_DOMAIN,163,0.7652582159624414,213,True
"PROD(prmtan_neped,ece39)",FULL_DOMAIN,160,0.7511737089201878,213,False
"PROD(ip,prmtan_neped)",FULL_DOMAIN,154,0.7230046948356808,213,False
"PROD(fs03da,cerqtit11)",FULL_DOMAIN,131,0.6150234741784038,213,False
"PROD(gasa,ece1)",FULL_DOMAIN,109,0.5117370892018779,213,False
"PROD(ece37,ece39)",FULL_DOMAIN,107,0.5023474178403756,213,True
RECIP(cerqtit10),FULL_DOMAIN,103,0.4835680751173709,213,True
"PROD(pinj,cerqrott6)",FULL_DOMAIN,96,0.4507042253521127,213,True
RECIP(bt),FULL_DOMAIN,96,0.4507042253521127,213,False
"RATIO(ece25,ece39)",FULL_DOMAIN,93,0.43661971830985913,213,False
"PROD(prmtan_neped,prmtan_neped)",FULL_DOMAIN,83,0.38967136150234744,213,True
"PROD(gasa,gasa)",FULL_DOMAIN,67,0.3145539906103286,213,True
"RATIO(ip,bt)",FULL_DOMAIN,54,0.2535211267605634,213,False
"RATIO(prmtan_neped,cerqtit10)",FULL_DOMAIN,49,0.2300469483568075,213,False
"RATIO(cerqrott12,cerqtit10)",FULL_DOMAIN,44,0.20657276995305165,213,False
ID(prmtan_neped),FULL_DOMAIN,43,0.20187793427230047,213,True
"PROD(bt,bt)",FULL_DOMAIN,36,0.16901408450704225,213,False
"RATIO(ece21,prmtan_neped)",FULL_DOMAIN,31,0.14553990610328638,213,True
RECIP(prmtan_neped),FULL_DOMAIN,31,0.14553990610328638,213,True
"PROD(pinj,ece36)",FULL_DOMAIN,26,0.12206572769953052,213,False
"RATIO(gasa,ece6)",FULL_DOMAIN,26,0.12206572769953052,213,False
"RATIO(gasd,bt)",FULL_DOMAIN,21,0.09859154929577464,213,False
"PROD(prmtan_neped,cerqtit6)",FULL_DOMAIN,20,0.09389671361502347,213,False
"RATIO(prmtan_neped,bt)",FULL_DOMAIN,18,0.08450704225352113,213,False
"RATIO(cerqtit8,ece22)",FULL_DOMAIN,17,0.07981220657276995,213,False
"PROD(gasa,cerqtit6)",FULL_DOMAIN,16,0.07511737089201878,213,False
"RATIO(prmtan_neped,ece22)",FULL_DOMAIN,16,0.07511737089201878,213,False
LEVEL_RATE(cerqrott12|cerqtit8),FULL_DOMAIN,15,0.07042253521126761,213,False
