omitted_shot_id,era,omitted_REL_nrmse,Delta_0,Delta_1,V3_STYLE_PASS,influence_on_Delta_1
155537,earlier,0.0881634176028925,-0.17141629330210723,0.5451827839158854,False,0.013092221907481716
159310,earlier,0.1024085998029482,-0.17969184279888412,0.545050260333094,False,0.01295969832469035
160717,earlier,0.3667649468845722,-0.15551971051739358,0.5403465274550824,False,0.008255965446678726
160719,earlier,0.1743859588532056,-0.16553679314916048,0.5430517676930818,False,0.010961205684678177
160721,earlier,0.1477670102128884,-0.16754067309068793,0.5451130239474384,False,0.01302246193903478
161136,earlier,0.3507506315519817,-0.16344403631825166,0.5513708560302882,False,0.01928029402188458
161145,earlier,0.1348071042439103,-0.1696779853563692,0.5440958260534013,False,0.012005264044997688
161414,earlier,0.1316860054311389,-0.17166936554730267,0.5469774858511105,False,0.014886923842706845
165017,earlier,0.2002137627391678,-0.17801536522682634,0.5488033727895469,False,0.016712810781143284
165026,earlier,0.1649247648569792,-0.16711197848046877,0.5441406783004961,False,0.012050116292092405
165027,earlier,0.1190299581843449,-0.16696967387285896,0.5441018588283433,False,0.01201129681993962
165029,earlier,0.1546676472311377,-0.17437874388859897,0.5438362897881832,False,0.011745727779779558
165031,earlier,0.3144382275033943,-0.17382189769056233,0.5511879439746629,False,0.019097381966259208
165043,earlier,0.1597994106811542,-0.16630818410420845,0.545505813432532,False,0.01341525142412836
165860,earlier,0.1011016505227557,-0.164638132758651,0.5452685815405354,False,0.013178019532131713
165955,earlier,0.1935103166218603,-0.18121961062817765,0.5456234591672532,False,0.013532897158849533
165965,earlier,0.1897777329274167,-0.1775396808711855,0.5440481988702851,False,0.011957636861881449
170394,earlier,0.2196926846708603,-0.1632546318760831,0.5450926872782771,False,0.013002125269873432
170411,earlier,0.1236438541971501,-0.16774679630322747,0.5441675827336072,False,0.012077020725203558
186997,earlier,0.2431984910921842,-0.16549783934420675,0.5439940415515443,False,0.011903479543140638
187018,earlier,0.3085991152311767,-0.15048320715914287,0.5462008327382821,False,0.014110270729878471
187019,earlier,11.952633158377472,-0.4465915151308623,0.25786868567959575,False,-0.2742218763288079
187021,earlier,0.2339909427410042,-0.16235208481577315,0.5484360897644514,False,0.016345527756047695
187022,earlier,11.766571685014748,-0.4474884207717256,0.2637978375563986,False,-0.2682927244520051
189646,later,0.2402300600201362,-0.16350179129204523,0.5453988249194939,False,0.013308262911090218
189649,later,0.1374895379814073,-0.15988550273370278,0.5479956795369727,False,0.015905117528569046
189650,later,0.1699439778423281,-0.15666890123635047,0.5459549526167654,False,0.013864390608361754
189652,later,0.1781385530057603,-0.15703801532948206,0.5459498484431796,False,0.013859286434775964
195261,later,0.1697792788135332,-0.168352966166517,0.5452092791832451,False,0.013118717174841477
195265,later,0.1880751743690242,-0.16192460486618163,0.5510102544670193,False,0.01891969245861569
195266,later,0.2512944925106523,-0.15971240836437794,0.5494333963286486,False,0.01734283432024497
195268,later,0.2617329850600386,-0.16369104767473655,0.5465055739686348,False,0.014415011960231094
195269,later,0.2077212378630986,-0.1736506278036211,0.5467113570189643,False,0.014620795010560683
195274,later,0.499649267736147,-0.17509388851127763,0.5415987281948306,False,0.009508166186426914
195626,later,0.1402416861252779,-0.17529646915845246,0.544693930610018,False,0.012603368601614373
195642,later,0.0801776221388742,-0.16442608381494095,0.5446578980038286,False,0.012567335995424922
195645,later,0.1211655672429321,-0.1674328366298892,0.5458278676727168,False,0.013737305664313193
195648,later,0.0504973280382959,-0.16098782180062812,0.5456446283916437,False,0.013554066383240082
195649,later,0.1013440042194344,-0.16415543501486968,0.5444029329641265,False,0.012312370955722796
195651,later,0.1693317910890801,-0.16573814110933743,0.5439730374302268,False,0.011882475421823191
195652,later,0.1391419137467811,-0.16954418010732505,0.5443334565916208,False,0.012242894583217145
195659,later,0.1308391260664134,-0.15897594315752886,0.545239472737646,False,0.013148910729242291
