shot_id,era,block,nrmse,rmse,scale,log10_kappa,active_terms
155537,earlier,A,0.08835331707983113,7.02062801426261e+17,7.946083119798617e+18,1.5849728855633451,12
155537,earlier,B,0.1090524877355412,7.994495047880645e+17,7.330869028194729e+18,1.6365595300119904,12
155537,earlier,C,0.09821972475647835,6.462977817519433e+17,6.580122102300179e+18,1.6671507753386547,12
159310,earlier,A,0.20377738201479684,2.020022067515446e+18,9.91288654090554e+18,2.168982232908323,12
159310,earlier,B,0.13396086582072927,1.1062495618256352e+18,8.258005463372071e+18,2.1835465005719756,12
159310,earlier,C,0.10987570569500307,7.945343025912092e+17,7.231210007394228e+18,2.192697329885168,12
160715,earlier,A,0.2101418292729414,2.1610523278303557e+18,1.0283779937137058e+19,1.9672226362032859,12
160715,earlier,B,0.10759530873461236,1.0327673382772497e+18,9.598627955282018e+18,1.7739458191206396,12
160715,earlier,C,0.15519603904807805,1.3672432015415153e+18,8.809781550661599e+18,1.7456285275633854,12
160717,earlier,A,0.1843786776934031,1.7510950332552832e+18,9.497275146788493e+18,2.022758004190024,12
160717,earlier,B,0.13580242301899298,1.3221832054219448e+18,9.73607963708444e+18,1.8110374024108038,12
160717,earlier,C,0.1930064840554363,2.2733877750165926e+18,1.1778815546754474e+19,1.7512895330897187,12
160719,earlier,A,0.14627966164205658,1.4113455581608274e+18,9.648269228393226e+18,1.8888528252747254,12
160719,earlier,B,0.08752887267573689,8.098604224803034e+17,9.252494608042607e+18,1.739176168035608,12
160719,earlier,C,0.1335079951463673,1.1971271390165688e+18,8.966707482230829e+18,1.6917453153361957,12
160720,earlier,A,0.2509959015116982,2.381055837762421e+18,9.486433138636118e+18,1.8864500000038977,12
160720,earlier,B,0.17058887992284508,1.523433543206936e+18,8.930438747800931e+18,1.7910646113898931,12
160720,earlier,C,0.2919698971720483,3.457948060925879e+18,1.1843508849435335e+19,1.693320222684821,12
160721,earlier,A,0.29542364416901534,2.6284980494136274e+18,8.897385504830591e+18,2.086318612275922,12
160721,earlier,B,0.11802912733445864,9.78297682956998e+17,8.288612354006482e+18,1.9203830643102695,12
160721,earlier,C,0.1919777901925901,1.4694535838495327e+18,7.654289500756271e+18,1.8855987085834005,12
161136,earlier,A,0.456389068290074,2.0556217158596434e+18,4.504099371970762e+18,1.7105984755389583,12
161136,earlier,B,0.4761659526973332,2.4820764364506583e+18,5.212628963474732e+18,1.6854050504773097,12
161136,earlier,C,0.3617880868522258,2.7104409840629115e+18,7.491791693986887e+18,1.430624776428618,12
161138,earlier,A,0.20890965775399417,1.2219817545970947e+18,5.849331082797829e+18,1.8668388055039304,12
161138,earlier,B,0.18347288642252024,1.1516876951387332e+18,6.277154720760801e+18,1.6881445767215368,12
161138,earlier,C,0.12831527591061054,8.022326216029585e+17,6.252042992619407e+18,1.5231928620318116,12
161145,earlier,A,0.11442085920434669,1.0546904876870656e+18,9.217641739636573e+18,1.487851007464779,12
161145,earlier,B,0.09144772935429354,7.589248139961457e+17,8.299001181930534e+18,1.426041632624937,12
161145,earlier,C,0.1008067919306579,7.632195580432607e+17,7.57111245607595e+18,1.4473949123183494,12
161414,earlier,A,0.12032947989240711,8.19329691950829e+17,6.809052051778456e+18,1.7949038027871347,12
