target,canonical_unit,rrv_dev_median,rrv_min,rrv_max,rrv_margin,min_distinct_values_fraction,n_identically_zero_development_discharges,n_valid_nrmse_blocks,n_invalid_nrmse_blocks,n_eras_present
bt,T,0.003785340908627915,0.0016512490789428289,0.005203326097470784,-0.04621465909137209,0.859481582537517,0,60,0,2
ip,A,0.00515150327587776,0.003631528662072852,0.00764475670716268,-0.04484849672412224,0.9179206566347469,0,60,0,2
vsurf,V,0.17617064954795453,0.1024355420839703,0.36145995320852814,0.12617064954795454,1.0,0,60,0,2
density,m^-3,0.10056100660301942,0.02991160655588505,0.2620621396646173,0.05056100660301942,1.0,0,60,0,2
prmtan_neped,m^-3,0.19436372947799146,0.12402699320032955,0.35221146297990846,0.14436372947799148,1.0,0,60,0,2
prmtan_teped,eV,0.3015247134307893,0.19075167307219215,0.484325216883753,0.2515247134307893,1.0,0,60,0,2
fs04,ph/(sr m^2 s),0.3588111155013324,0.21295372958275086,0.7432483317356527,0.3088111155013324,1.0,0,60,0,2
fs03da,ph/(sr m^2 s),0.26450689817197576,0.0,0.7021911322555296,0.21450689817197577,0.4180645161290323,0,60,0,2
fs04da,ph/(sr m^2 s),0.3588111155013324,0.21295372958275086,0.7432483317356527,0.3088111155013324,1.0,0,60,0,2
fs05da,ph/(sr m^2 s),0.45936369696990553,0.32118085153076614,0.7755493492014042,0.40936369696990554,1.0,0,60,0,2
ece1,eV,0.24806444119906695,0.09956965976123545,0.6559236761570794,0.19806444119906697,0.99860529986053,0,60,0,2
ece2,eV,0.24724402940244555,0.08136357057940913,0.8939298849651921,0.19724402940244556,1.0,0,60,0,2
ece3,eV,0.23846390702705034,0.08982926032450984,0.8873088848446411,0.18846390702705035,1.0,0,60,0,2
ece4,eV,0.24278800098137565,0.10648136293562178,0.867101087771062,0.19278800098137566,1.0,0,60,0,2
ece5,eV,0.2353246565270573,0.11982501089214663,0.9155575923844154,0.18532465652705732,0.9986301369863013,0,60,0,2
ece6,eV,0.2517327449453883,0.11270416661423084,0.91452662493531,0.2017327449453883,1.0,0,60,0,2
ece7,eV,0.26592856627186057,0.0928554568478989,0.869912782239835,0.21592856627186058,1.0,0,60,0,2
ece8,eV,0.2412066993045502,0.09871909678511277,0.8583921967274603,0.1912066993045502,1.0,0,60,0,2
ece9,eV,0.2186789128709059,0.07356281043287728,0.8157102029990979,0.16867891287090592,0.5396419437340153,0,60,0,2
ece10,eV,0.22805291967962193,0.08006073103143906,0.7775160184351778,0.17805291967962195,0.5485933503836317,0,60,0,2
ece11,eV,0.21319535384963167,0.07973660334532431,0.7227263302815178,0.16319535384963169,0.9984496124031008,0,60,0,2
ece12,eV,0.2072128553717803,0.07346035095233501,0.6542983968689171,0.1572128553717803,1.0,0,60,0,2
ece13,eV,0.17830761606982948,0.0672959177488846,0.6340592349430237,0.1283076160698295,1.0,0,60,0,2
ece14,eV,0.17481149360911155,0.059289263466000545,0.5939621673388741,0.12481149360911155,0.9984496124031008,0,60,0,2
ece15,eV,0.16026621495947924,0.05828528634370549,0.7602662621371638,0.11026621495947923,0.9986301369863013,0,60,0,2
ece16,eV,0.18583329004520807,0.050916226776688896,0.6853876629945139,0.13583329004520805,0.9984496124031008,0,60,0,2
ece17,eV,0.18852634325242912,0.05301376641287645,0.7215721810451536,0.13852634325242913,0.9968992248062015,0,60,0,2
ece18,eV,0.21484491615762086,0.05264380004142314,0.6108536809519571,0.16484491615762087,0.9983844911147012,0,60,0,2
ece19,eV,0.1870186425718955,0.0682994685741834,0.6034552315836003,0.1370186425718955,0.9982905982905983,0,60,0,2
ece20,eV,0.15512009064823917,0.05387330781328285,0.5572287751232198,0.10512009064823917,0.9983525535420099,0,60,0,2
ece21,eV,0.13919146041901584,0.04548600839219175,0.551554278943803,0.08919146041901584,0.9982905982905983,0,60,0,2
ece22,eV,0.13175041961044973,0.04238160625226743,0.5087735649227539,0.08175041961044972,0.9987179487179487,0,60,0,2
ece23,eV,0.12569363481967055,0.04185392274781967,0.5256415524160996,0.07569363481967055,0.9970326409495549,0,60,0,2
ece24,eV,0.1362043298938212,0.04316420114401595,0.5528645403328047,0.0862043298938212,0.9982905982905983,0,60,0,2
ece25,eV,0.1350711398972808,0.04683659207284424,0.5697444314608293,0.08507113989728081,0.9983525535420099,0,60,0,2
ece26,eV,0.1328820301689826,0.0453060942368094,0.5684450316006969,0.08288203016898259,0.9986357435197817,0,60,0,2
ece27,eV,0.1456461218365786,0.04428972471295371,0.612743400077482,0.0956461218365786,0.9982905982905983,0,60,0,2
ece28,eV,0.19451179579000158,0.04255574329460631,0.8227744414091924,0.14451179579000156,0.9969325153374233,0,60,0,2
ece29,eV,0.128796416475515,0.04824727395737391,0.46391272833613834,0.07879641647551501,0.9983844911147012,0,60,0,2
ece30,eV,0.1059619680254981,0.042212761842623445,0.4263325504843099,0.05596196802549809,0.9951534733441034,0,60,0,2
ece31,eV,0.10574778006287311,0.04316348747830937,0.4034428438181116,0.055747780062873106,0.9984496124031008,0,60,0,2
ece32,eV,0.09670580915906868,0.04428727055805862,0.37885983988273453,0.046705809159068676,0.9974358974358974,0,60,0,2
ece33,eV,0.09596413016556342,0.05468197090377998,0.5463815824565429,0.045964130165563416,0.9986320109439124,0,60,0,2
ece34,eV,0.09950693287233009,0.06188803635276013,0.4476074106632101,0.04950693287233009,0.9973684210526316,0,60,0,2
ece35,eV,0.10958410802820807,0.03291790099472315,0.3863176697280344,0.05958410802820807,0.9985052316890882,0,60,0,2
ece36,eV,0.12145679234050054,0.04372454190897872,0.31309328549938686,0.07145679234050054,0.9987096774193548,0,60,0,2
ece37,eV,0.11779092771174718,0.029241227999126568,0.32466802946083,0.06779092771174718,0.9984496124031008,0,60,0,2
ece38,eV,0.14676230916301125,0.03314027475088092,0.4150539172264133,0.09676230916301125,0.9983333333333333,0,60,0,2
ece39,eV,0.16610789101931234,0.056402064477238646,0.508574344503982,0.11610789101931233,0.9967689822294022,0,60,0,2
ece40,eV,0.1590713208960223,0.07167583744713985,0.5336481209031962,0.1090713208960223,0.9983333333333333,0,60,0,2
cerqrott3,m/s,0.17646247312875457,0.0648006137124041,0.48376460071722105,0.12646247312875458,0.9815950920245399,0,60,0,2
cerqrott6,m/s,0.1566840133341581,0.10120845692352994,0.4509563651558746,0.1066840133341581,0.9386503067484663,0,60,0,2
cerqrott8,m/s,0.17716780236989876,0.1122254702421657,0.34565601677310154,0.12716780236989877,0.9355828220858896,0,60,0,2
cerqrott10,m/s,0.22475692815146792,0.1013525850306963,0.44518347691770194,0.17475692815146793,0.9662576687116564,0,60,0,2
cerqrott11,m/s,0.32918410054189917,0.10295325783240603,0.7305200065414746,0.2791841005418992,0.9294478527607362,0,60,0,2
cerqrott12,m/s,0.4270453691257249,0.1937692871189597,0.7560353899176289,0.3770453691257249,0.9539877300613497,0,60,0,2
cerqrott13,m/s,0.39131157625191093,0.20388421603094292,0.8250538960657311,0.34131157625191094,0.9079754601226994,0,60,0,2
cerqtit3,eV,0.18638589937331596,0.08720392853320663,0.4346952117690681,0.13638589937331597,0.9969325153374233,0,60,0,2
cerqtit6,eV,0.18112351098289317,0.06926374431079524,0.34621990671383646,0.13112351098289315,0.9969325153374233,0,60,0,2
cerqtit8,eV,0.17736963355358398,0.07898701548395971,0.4020310206701871,0.127369633553584,0.9938650306748467,0,60,0,2
cerqtit10,eV,0.21777377721031105,0.07098633896873051,0.46398079665459946,0.16777377721031106,0.9938650306748467,0,60,0,2
cerqtit11,eV,0.21769486392025628,0.07850236958252274,0.4926730483706093,0.1676948639202563,0.9938650306748467,0,60,0,2
cerqtit12,eV,0.21679078105230193,0.09559591982565638,0.5130122058910755,0.16679078105230194,0.9969325153374233,0,60,0,2
cerqtit13,eV,0.23371671428198357,0.0791986537159475,0.5180166650938374,0.18371671428198355,0.9877300613496932,0,60,0,2
