target,signal_index,n_predictors_v1,n_numerical_support_removals,numerical_support_removed,n_predictors_corrected,n_families_corrected,families_corrected,corrected_grid_dt_min_ms,corrected_grid_dt_max_ms,corrected_grid_dt_max_development,target_numerical_feasible,target_fail_reason
ece21,62,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece22,63,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece23,64,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece24,65,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece25,66,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece26,67,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece27,68,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece28,69,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece29,70,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece30,71,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece31,72,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece32,73,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece33,74,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece34,75,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece35,76,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece36,77,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece37,78,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece38,79,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece39,80,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
ece40,81,40,1,vsurf,39,6,cer_rotation_ti|density|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott3,82,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott6,83,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott8,84,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott10,85,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott11,86,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott12,87,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqrott13,88,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit3,89,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit6,90,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit8,91,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit10,92,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit11,93,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit12,94,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
cerqtit13,95,73,1,vsurf,72,7,cer_rotation_ti|density|ece_te_profile|filterscope_dalpha|gas_injection|magnetics|neutral_beams,5.8533333333333335,14.186746987951807,14.144144144144144,True,
