candidate,signal_index,C1_scalar,C2_available,C3_interpretable,C4_resolved_unit,C5_target_class,C6_min_predictors_after_closure,C7_no_event_taxonomy,C8_no_regime_classification,C9_no_algebraic_duplicate,C10_meaningful_variation,C11_both_processing_eras,C12_no_label_pipeline,C13_target_source_resolution,n_invalid_nrmse_blocks,all_criteria_pass,target_major_flag_count,n_certified_primary_predictors,n_distinct_surviving_families,RRV_dev,RRV_margin,frozen_signal_index,target_fail_reason,rank,rank_resolution_level
ece37,78,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.11779092771174718,0.06779092771174718,78,,39,2
ece35,76,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.10958410802820807,0.05958410802820807,76,,40,2
ece30,71,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.1059619680254981,0.05596196802549809,71,,41,2
ece31,72,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.10574778006287311,0.055747780062873106,72,,42,2
ece34,75,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.09950693287233009,0.04950693287233009,75,,43,2
ece32,73,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.09670580915906868,0.046705809159068676,73,,44,2
ece33,74,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,0,39,6,0.09596413016556342,0.045964130165563416,74,,45,2
cerqrott12,87,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.4270453691257249,0.3770453691257249,87,,46,1
cerqrott13,88,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.39131157625191093,0.34131157625191094,88,,47,1
cerqrott11,86,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.32918410054189917,0.2791841005418992,86,,48,1
cerqtit13,95,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.23371671428198357,0.18371671428198355,95,,49,1
cerqrott10,85,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.22475692815146792,0.17475692815146793,85,,50,1
cerqtit10,92,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.21777377721031105,0.16777377721031106,92,,51,1
cerqtit11,93,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.21769486392025628,0.1676948639202563,93,,52,1
cerqtit12,94,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.21679078105230193,0.16679078105230194,94,,53,1
cerqtit3,89,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.18638589937331596,0.13638589937331597,89,,54,1
cerqtit6,90,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.18112351098289317,0.13112351098289315,90,,55,1
cerqtit8,91,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.17736963355358398,0.127369633553584,91,,56,1
cerqrott8,84,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.17716780236989876,0.12716780236989877,84,,57,1
cerqrott3,82,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.17646247312875457,0.12646247312875458,82,,58,1
cerqrott6,83,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,1,72,7,0.1566840133341581,0.1066840133341581,83,,59,1
prmtan_teped,23,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,2,78,7,0.3015247134307893,0.2515247134307893,23,,60,1
prmtan_neped,22,True,True,True,True,True,True,True,True,True,True,True,True,True,0,True,2,78,7,0.19436372947799146,0.14436372947799148,22,,61,1
