candidate,shot,cohort,target_source_dt_ms,coarsest_predictor_source_dt_ms,binding_signal,required_analysis_dt_ms,n_grid_samples,validation_feasible
bt,160715,development,0.49989795918367347,5.884665792922673,cerqrott3,5.884665792922673,729,True
bt,160720,development,0.49989795918367347,5.884665792922673,cerqrott3,5.884665792922673,730,True
bt,161138,development,0.4999499449394334,9.973614775725594,cerqrott8,9.973614775725594,380,True
bt,165022,development,0.4998978549540347,5.876840696117805,cerqrott3,5.876840696117805,730,True
bt,165028,development,0.4999999999999999,5.898123324396783,cerqrott3,5.898123324396783,730,True
bt,165042,development,0.4998978549540347,5.8533333333333335,cerqrott3,5.8533333333333335,733,True
bt,165861,development,0.4999999999999999,5.890227576974565,cerqrott3,5.890227576974565,731,True
bt,170396,development,0.4999003984063745,14.144144144144144,prmtan_teped,14.144144144144144,326,True
bt,187017,development,0.49995839920126467,8.328445747800586,prmtan_teped,8.328445747800586,600,True
bt,187020,development,0.4999593727147152,8.290598290598291,prmtan_teped,8.290598290598291,619,True
bt,187024,development,0.49999999999999994,7.96169630642955,prmtan_teped,7.96169630642955,645,True
bt,189647,development,0.04999065870854187,7.452991452991453,cerqrott8,7.452991452991453,585,True
bt,189651,development,0.04999459188389267,7.194719471947194,cerqrott8,7.194719471947194,607,True
bt,195264,development,0.04999584368947373,6.818181818181818,prmtan_teped,6.818181818181818,775,True
bt,195267,development,0.04999630538838578,6.869047619047619,prmtan_teped,6.869047619047619,780,True
bt,195273,development,0.0499942575410791,6.856465005931198,prmtan_teped,6.856465005931198,782,True
bt,195638,development,0.04999228216408119,6.768377253814147,prmtan_teped,6.768377253814147,704,True
bt,195647,development,0.049993267547656144,7.149253731343284,cerqrott3,7.149253731343284,669,True
bt,195650,development,0.049994223659889085,6.648426812585499,prmtan_teped,6.648426812585499,717,True
bt,195655,development,0.04999904087778864,7.100591715976331,cerqrott3,7.100591715976331,674,True
bt,155537,external,0.4999488700276102,5.881578947368421,cerqrott3,5.881578947368421,728,True
bt,159310,external,0.499901768172888,6.488095238095238,cerqrott3,6.488095238095238,673,True
bt,160717,external,0.49989795918367347,5.884665792922673,cerqrott3,5.884665792922673,728,True
bt,160719,external,0.49994923342471315,5.908496732026144,cerqrott3,5.908496732026144,729,True
bt,160721,external,0.49989795918367347,5.884665792922673,cerqrott3,5.884665792922673,729,True
bt,161136,external,0.4999499449394334,9.973614775725594,cerqrott8,9.973614775725594,380,True
bt,161145,external,0.4999499449394334,9.973614775725594,cerqrott8,9.973614775725594,380,True
bt,161414,external,0.4999145299145299,6.153846153846154,cerqrott3,6.153846153846154,833,True
bt,165017,external,0.4999999999999999,5.9523809523809526,cerqrott3,5.9523809523809526,723,True
bt,165026,external,0.4999999999999999,6.002728512960436,cerqrott3,6.002728512960436,717,True
