realization_index,shot,a_rel,b_rel,class,fraction,count
8,161138,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
8,161138,0.25,0.25,REGULAR,0.89,890
8,161138,0.25,0.25,POLE_LIKE,0.084,84
8,161138,0.25,0.25,JOINTLY_SMALL,0.026,26
8,161138,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.05,0.05,REGULAR,0.956,956
9,161145,0.05,0.05,POLE_LIKE,0.039,39
9,161145,0.05,0.05,JOINTLY_SMALL,0.005,5
9,161145,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.1,0.1,REGULAR,0.923,923
9,161145,0.1,0.1,POLE_LIKE,0.061,61
9,161145,0.1,0.1,JOINTLY_SMALL,0.016,16
9,161145,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
9,161145,0.25,0.25,REGULAR,0.836,836
9,161145,0.25,0.25,POLE_LIKE,0.112,112
9,161145,0.25,0.25,JOINTLY_SMALL,0.052,52
9,161145,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
10,161414,0.05,0.05,REGULAR,0.973,973
10,161414,0.05,0.05,POLE_LIKE,0.024,24
10,161414,0.05,0.05,JOINTLY_SMALL,0.003,3
10,161414,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
10,161414,0.1,0.1,REGULAR,0.959,959
10,161414,0.1,0.1,POLE_LIKE,0.03,30
10,161414,0.1,0.1,JOINTLY_SMALL,0.011,11
10,161414,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
10,161414,0.25,0.25,REGULAR,0.89,890
10,161414,0.25,0.25,POLE_LIKE,0.059,59
10,161414,0.25,0.25,JOINTLY_SMALL,0.051,51
10,161414,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
11,165017,0.05,0.05,REGULAR,0.976,976
11,165017,0.05,0.05,POLE_LIKE,0.023,23
11,165017,0.05,0.05,JOINTLY_SMALL,0.001,1
11,165017,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
11,165017,0.1,0.1,REGULAR,0.937,937
11,165017,0.1,0.1,POLE_LIKE,0.051,51
11,165017,0.1,0.1,JOINTLY_SMALL,0.012,12
11,165017,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
11,165017,0.25,0.25,REGULAR,0.856,856
11,165017,0.25,0.25,POLE_LIKE,0.097,97
11,165017,0.25,0.25,JOINTLY_SMALL,0.047,47
11,165017,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
12,165022,0.05,0.05,REGULAR,0.987,987
12,165022,0.05,0.05,POLE_LIKE,0.013,13
12,165022,0.05,0.05,JOINTLY_SMALL,0.0,0
12,165022,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
12,165022,0.1,0.1,REGULAR,0.978,978
12,165022,0.1,0.1,POLE_LIKE,0.022,22
12,165022,0.1,0.1,JOINTLY_SMALL,0.0,0
12,165022,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
12,165022,0.25,0.25,REGULAR,0.96,960
12,165022,0.25,0.25,POLE_LIKE,0.035,35
12,165022,0.25,0.25,JOINTLY_SMALL,0.005,5
12,165022,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
13,165026,0.05,0.05,REGULAR,0.982,982
13,165026,0.05,0.05,POLE_LIKE,0.016,16
13,165026,0.05,0.05,JOINTLY_SMALL,0.002,2
13,165026,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
13,165026,0.1,0.1,REGULAR,0.973,973
13,165026,0.1,0.1,POLE_LIKE,0.024,24
13,165026,0.1,0.1,JOINTLY_SMALL,0.003,3
13,165026,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
13,165026,0.25,0.25,REGULAR,0.916,916
13,165026,0.25,0.25,POLE_LIKE,0.069,69
13,165026,0.25,0.25,JOINTLY_SMALL,0.015,15
13,165026,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
14,165027,0.05,0.05,REGULAR,0.965,965
14,165027,0.05,0.05,POLE_LIKE,0.035,35
14,165027,0.05,0.05,JOINTLY_SMALL,0.0,0
14,165027,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
14,165027,0.1,0.1,REGULAR,0.951,951
14,165027,0.1,0.1,POLE_LIKE,0.049,49
14,165027,0.1,0.1,JOINTLY_SMALL,0.0,0
14,165027,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
14,165027,0.25,0.25,REGULAR,0.892,892
14,165027,0.25,0.25,POLE_LIKE,0.106,106
14,165027,0.25,0.25,JOINTLY_SMALL,0.002,2
14,165027,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
15,165028,0.05,0.05,REGULAR,0.973,973
15,165028,0.05,0.05,POLE_LIKE,0.023,23
15,165028,0.05,0.05,JOINTLY_SMALL,0.004,4
15,165028,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
15,165028,0.1,0.1,REGULAR,0.95,950
15,165028,0.1,0.1,POLE_LIKE,0.038,38
15,165028,0.1,0.1,JOINTLY_SMALL,0.012,12
15,165028,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
15,165028,0.25,0.25,REGULAR,0.871,871
15,165028,0.25,0.25,POLE_LIKE,0.063,63
15,165028,0.25,0.25,JOINTLY_SMALL,0.066,66
15,165028,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
16,165029,0.05,0.05,REGULAR,0.99,990
16,165029,0.05,0.05,POLE_LIKE,0.009,9
16,165029,0.05,0.05,JOINTLY_SMALL,0.001,1
16,165029,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
16,165029,0.1,0.1,REGULAR,0.962,962
16,165029,0.1,0.1,POLE_LIKE,0.034,34
16,165029,0.1,0.1,JOINTLY_SMALL,0.004,4
16,165029,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
16,165029,0.25,0.25,REGULAR,0.893,893
16,165029,0.25,0.25,POLE_LIKE,0.084,84
16,165029,0.25,0.25,JOINTLY_SMALL,0.023,23
16,165029,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
17,165031,0.05,0.05,REGULAR,0.99,990
17,165031,0.05,0.05,POLE_LIKE,0.01,10
17,165031,0.05,0.05,JOINTLY_SMALL,0.0,0
17,165031,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
17,165031,0.1,0.1,REGULAR,0.968,968
17,165031,0.1,0.1,POLE_LIKE,0.03,30
17,165031,0.1,0.1,JOINTLY_SMALL,0.002,2
17,165031,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
17,165031,0.25,0.25,REGULAR,0.93,930
17,165031,0.25,0.25,POLE_LIKE,0.053,53
17,165031,0.25,0.25,JOINTLY_SMALL,0.017,17
17,165031,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
18,165042,0.05,0.05,REGULAR,0.964,964
18,165042,0.05,0.05,POLE_LIKE,0.032,32
18,165042,0.05,0.05,JOINTLY_SMALL,0.004,4
18,165042,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
18,165042,0.1,0.1,REGULAR,0.929,929
18,165042,0.1,0.1,POLE_LIKE,0.057,57
18,165042,0.1,0.1,JOINTLY_SMALL,0.014,14
18,165042,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
18,165042,0.25,0.25,REGULAR,0.825,825
18,165042,0.25,0.25,POLE_LIKE,0.104,104
18,165042,0.25,0.25,JOINTLY_SMALL,0.071,71
18,165042,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
19,165043,0.05,0.05,REGULAR,0.966,966
19,165043,0.05,0.05,POLE_LIKE,0.033,33
19,165043,0.05,0.05,JOINTLY_SMALL,0.001,1
19,165043,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
19,165043,0.1,0.1,REGULAR,0.938,938
19,165043,0.1,0.1,POLE_LIKE,0.057,57
19,165043,0.1,0.1,JOINTLY_SMALL,0.005,5
19,165043,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
19,165043,0.25,0.25,REGULAR,0.871,871
19,165043,0.25,0.25,POLE_LIKE,0.072,72
19,165043,0.25,0.25,JOINTLY_SMALL,0.057,57
19,165043,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
20,165860,0.05,0.05,REGULAR,0.973,973
20,165860,0.05,0.05,POLE_LIKE,0.027,27
20,165860,0.05,0.05,JOINTLY_SMALL,0.0,0
20,165860,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
20,165860,0.1,0.1,REGULAR,0.941,941
20,165860,0.1,0.1,POLE_LIKE,0.059,59
20,165860,0.1,0.1,JOINTLY_SMALL,0.0,0
20,165860,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
20,165860,0.25,0.25,REGULAR,0.85,850
20,165860,0.25,0.25,POLE_LIKE,0.14,140
20,165860,0.25,0.25,JOINTLY_SMALL,0.01,10
20,165860,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
21,165861,0.05,0.05,REGULAR,0.984,984
21,165861,0.05,0.05,POLE_LIKE,0.015,15
21,165861,0.05,0.05,JOINTLY_SMALL,0.001,1
21,165861,0.05,0.05,EXACT_OR_NEAR_ZERO_A,0.0,0
21,165861,0.1,0.1,REGULAR,0.967,967
21,165861,0.1,0.1,POLE_LIKE,0.032,32
21,165861,0.1,0.1,JOINTLY_SMALL,0.001,1
21,165861,0.1,0.1,EXACT_OR_NEAR_ZERO_A,0.0,0
21,165861,0.25,0.25,REGULAR,0.911,911
21,165861,0.25,0.25,POLE_LIKE,0.061,61
21,165861,0.25,0.25,JOINTLY_SMALL,0.028,28
21,165861,0.25,0.25,EXACT_OR_NEAR_ZERO_A,0.0,0
22,165955,0.05,0.05,REGULAR,0.973,973
22,165955,0.05,0.05,POLE_LIKE,0.027,27
22,165955,0.05,0.05,JOINTLY_SMALL,0.0,0
