realization_index,shot,denominator,min,max,median,mean,std,min_abs,q0001_abs,q001_abs,q005_abs,q01_abs,q025_abs,q05_abs,q10_abs,q25_abs,q50_abs,n_exact_zero,n_sign_changes,n_nonfinite,robust_scale_median_abs,robust_scale_mad,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1
0,155537,D_kappa_Wdia,14.466653011487,24.813901898695967,17.151937149314293,17.262821688147618,1.0,14.466653011487,14.466653011487,14.466653011487,14.524173089036744,15.68795308850777,16.065668837899644,16.27048240964047,16.519130491132312,16.928300394716988,17.151937149314293,0,0,0,17.151937149314293,0.3285668394549185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,155537,D_betaN_Wdia,11.88576868675044,21.19227259788265,17.168832972280363,17.26282168814762,0.9999999999999999,11.88576868675044,11.88576868675044,11.885768686750442,13.385079479868939,14.495706534879972,15.549420881068295,16.039507809813028,16.39532248895155,16.810986242044923,17.168832972280363,0,0,0,17.168832972280363,0.5661645241707419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,155537,D_betaN_kappa,11.88576868675044,21.19227259788265,17.168832972280363,17.26282168814762,0.9999999999999999,11.88576868675044,11.88576868675044,11.885768686750442,13.385079479868939,14.495706534879972,15.549420881068295,16.039507809813028,16.39532248895155,16.810986242044923,17.168832972280363,0,0,0,17.168832972280363,0.5661645241707419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,155537,D_betaN_li,11.88576868675044,21.19227259788265,17.168832972280363,17.26282168814762,0.9999999999999999,11.88576868675044,11.88576868675044,11.885768686750442,13.385079479868939,14.495706534879972,15.549420881068295,16.039507809813028,16.39532248895155,16.810986242044923,17.168832972280363,0,0,0,17.168832972280363,0.5661645241707419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,155537,q95_over_kappa,10.0,19.3207770650772,17.382071583083622,17.262821688147618,1.0,10.0,10.04288696698089,10.428869669808899,11.830940769820812,12.276822085420227,13.630422906907087,16.27372220505919,16.822357970724244,17.190806132389525,17.382071583083622,0,0,0,17.382071583083622,0.3200375017727056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159310,D_kappa_Wdia,16.18206298601669,25.230629751166553,19.432260947622517,19.542318121078242,1.0,16.18206298601669,16.18206298601669,16.18206298601669,16.54457141429463,17.72483287494627,18.17803570981674,18.614605464337828,18.797737016267792,19.11464092587445,19.432260947622517,0,0,0,19.432260947622517,0.47390488964506083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159310,D_betaN_Wdia,13.13338985955321,22.76235121022974,19.52311350863297,19.542318121078242,1.0,13.13338985955321,13.13338985955321,13.13338985955321,15.804622999325751,16.71410038899978,17.47857977210715,17.835822174252943,18.46454569237292,19.16161819034385,19.52311350863297,0,0,0,19.52311350863297,0.585060310557084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159310,D_betaN_kappa,13.13338985955321,22.76235121022974,19.52311350863297,19.542318121078242,1.0,13.13338985955321,13.13338985955321,13.13338985955321,15.804622999325751,16.71410038899978,17.47857977210715,17.835822174252943,18.46454569237292,19.16161819034385,19.52311350863297,0,0,0,19.52311350863297,0.585060310557084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159310,D_betaN_li,13.13338985955321,22.76235121022974,19.52311350863297,19.542318121078242,1.0,13.13338985955321,13.13338985955321,13.13338985955321,15.804622999325751,16.71410038899978,17.47857977210715,17.835822174252943,18.46454569237292,19.16161819034385,19.52311350863297,0,0,0,19.52311350863297,0.585060310557084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,159310,q95_over_kappa,10.0,21.243362280075882,19.708494117715567,19.54231812107825,1.0,10.0,10.02316402924606,10.2316402924606,11.2885524173624,13.240726936194788,18.92405761488585,19.09846552807898,19.224292939539605,19.486473336950493,19.708494117715567,0,0,0,19.708494117715567,0.244894708285622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160715,D_kappa_Wdia,14.406088169911715,25.546001515262244,18.795408286166534,18.91023824050333,0.9999999999999999,14.406088169911715,14.406088169911724,14.406088169911813,16.52985180587404,16.634394079348215,17.47651109485819,17.836817908577906,18.138557780088867,18.452487201271364,18.795408286166534,0,0,0,18.795408286166534,0.48991873182912626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160715,D_betaN_Wdia,13.489104940795908,22.31488296486043,18.906747063862078,18.910238240503325,0.9999999999999999,13.489104940795908,13.489104940795908,13.489104940795912,15.348431312796736,16.236862629762513,16.894394707189818,17.273848487978917,17.84590019744461,18.49615986996089,18.906747063862078,0,0,0,18.906747063862078,0.6318704758374021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160715,D_betaN_kappa,13.489104940795908,22.31488296486043,18.906747063862078,18.910238240503325,0.9999999999999999,13.489104940795908,13.489104940795908,13.489104940795912,15.348431312796736,16.236862629762513,16.894394707189818,17.273848487978917,17.84590019744461,18.49615986996089,18.906747063862078,0,0,0,18.906747063862078,0.6318704758374021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160715,D_betaN_li,13.489104940795908,22.31488296486043,18.906747063862078,18.910238240503325,0.9999999999999999,13.489104940795908,13.489104940795908,13.489104940795912,15.348431312796736,16.236862629762513,16.894394707189818,17.273848487978917,17.84590019744461,18.49615986996089,18.906747063862078,0,0,0,18.906747063862078,0.6318704758374021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,160715,q95_over_kappa,12.069727804183382,20.93613481792428,19.195829777903313,18.91023824050333,1.0,12.069727804183382,12.09239312961798,12.296381058529358,13.451867154584793,14.823152070084005,15.546439861735685,17.90391763201736,18.092910051099622,18.628068139556348,19.195829777903313,0,0,0,19.195829777903313,0.33758334512644406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,160717,D_kappa_Wdia,12.738015320638402,25.553029566057653,17.10881468579397,17.202606295367328,1.0,12.738015320638402,12.738015320638423,12.73801532063861,13.71877668611281,15.444907394624732,15.991549076622523,16.279095624702347,16.49518165730359,16.866862117866877,17.10881468579397,0,0,0,17.10881468579397,0.3740175235057774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
