realization_index,shot,feature,display_name,max_abs_diff,max_rel_diff,rmse_diff,pearson_corr,mean_diff,std_diff,n_mismatch_gt_1e-12,status
6,160721,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
6,160721,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
6,160721,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
6,160721,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
7,161136,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
8,161138,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
9,161145,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,r[q95]/r[kappa],q95 / kappa,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[pcdiamag3]/d[betan],D_betaN W_dia,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[kappa]/d[betan],D_betaN kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[betan]/d[t],dot beta_N,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
10,161414,d[li]/d[betan],D_betaN l_i,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0,EXACTLY_REPRODUCED
11,165017,d[kappa]/d[t],dot kappa,0.0,0.0,0.0,1.0,0.0,0.0,0,EXACTLY_REPRODUCED
