realization_index,shot,max_abs_diff_inconsistent_s,max_abs_diff_consistent_s,standardized_temporal_invariant_statement
0,155537,2413.995464464818,4.440892098500626e-16,True
1,159310,1312.508442652245,4.440892098500626e-16,True
2,160715,407.28877893637673,4.440892098500626e-16,True
3,160717,1253.0333324371818,4.440892098500626e-16,True
4,160719,1000.8429266954171,4.440892098500626e-16,True
