realization_index,shot,intercept,c_Dkappa_Wdia,c_DbetaN_Wdia,shiftval,mu_yk,sig_yk,mu_yb,sig_yb
0,155537,-1.4043333874306806e-17,0.3970412945316385,1.2638060173861885,17.26282168814762,1.0025826590155777,0.07389373336348205,1.0059560746720717,0.11140352278827273
1,159310,-4.2130001622920416e-17,0.2009859922957055,0.5208682073706433,19.542318121078242,1.0024243654490712,0.06988229114334744,1.0005022819137739,0.03241897930508019
2,160715,3.510833468576702e-17,0.4676499134893681,1.1047516146989054,18.910238240503325,1.0022989288693525,0.06876957765085184,1.0048247748879278,0.10016110639054919
3,160717,-5.31013562122226e-17,0.332302970327353,1.3228490485203557,17.202606295367328,1.0026018793685576,0.07409809587598959,1.0060116508317196,0.11297016921212465
4,160719,-2.1065000811460208e-17,0.4736611429987727,1.1013099432114173,17.064518391123286,1.0026511169607324,0.07412327477800928,1.005786475693929,0.1082854947040604
5,160720,-2.457583428003691e-17,0.3378417449225221,1.3154050543679383,15.449169464823099,1.0037927847466133,0.09109742021683355,1.0078380293813767,0.13061133559200186
6,160721,4.7396251825785465e-17,0.4422577389353018,1.1511944400168543,16.57693830123761,1.0026483157181458,0.07434313467143994,1.0063302704631578,0.11292862248755689
7,161136,-1.6676458975739328e-17,0.2545058590149285,1.4114322211522257,19.18822780542834,1.0023691076333558,0.07025959689284707,1.004364485021337,0.09335192734476899
8,161138,8.777083671441753e-18,0.1806675396970989,1.4457593407726024,18.73137694501134,1.0023033455674875,0.06989727713584383,1.0042485727854553,0.09189610379563218
9,161145,7.899375304297576e-18,0.1836892746804905,1.4240500803833591,19.355100056269656,1.0020987803281862,0.06606601979722672,1.003988685763465,0.08581267597652714
10,161414,3.510833468576701e-17,0.0959730645521332,0.5755249191539983,20.230707603691197,1.002228341210746,0.0670491667908365,1.0004819490305672,0.031045016457902204
11,165017,0.0,0.1831894926739201,0.7475852638852558,17.49821841431348,1.0025925170551955,0.07277996614307371,1.0012710112258993,0.051151665641085774
12,165022,-1.4043333874306806e-17,0.5159535649331588,0.4152224636505492,18.53613488702075,1.002238851423064,0.06786284053578107,1.0008484672262963,0.04243198320000101
13,165026,1.4043333874306806e-17,0.147629520872896,0.5654543861518834,17.41906529040719,1.0024645678097701,0.07130624787846025,1.0007489561916432,0.0392975135287706
14,165027,4.2130001622920416e-17,0.3364884596999079,0.8844781106235421,14.643161791053483,1.003568913324415,0.0858595186087889,1.0034562353001293,0.08358587741687472
15,165028,1.4043333874306806e-17,0.0746828640519127,0.7443771897319928,17.321830745761037,1.0024151603175264,0.07019559340824727,1.0010545333114815,0.04690436530853166
16,165029,7.021666937153403e-18,0.1883354618981545,0.6684405297280442,17.399752358966023,1.0026910489510095,0.07412012545817948,1.0010395385467634,0.04684692555116866
17,165031,-1.0532500405730102e-17,0.2619876701071195,0.5459625185481465,22.892825739085538,1.0015438888007837,0.055907257541380664,1.000479326931264,0.031362465714617135
18,165042,-3.510833468576701e-17,0.0310602205151244,0.6277935777719634,18.40741199997224,1.002266590632193,0.0683897957055984,1.0006246528632317,0.03526792567207856
19,165043,-4.213000162292041e-17,0.08064420648298,0.5707634689984294,17.478733819390776,1.0026364905119374,0.073643560721253,1.0006279019763118,0.035438444438401204
20,165860,-2.1065000811460205e-17,0.240731269086869,0.8947270285271773,20.69738688998035,1.0018026885491813,0.061119115021221054,1.0014138667397385,0.053947814007122195
21,165861,-3.5108334685767016e-18,0.2075423332354288,0.7591541592179597,20.730412817787137,1.0018097421930792,0.061201416728669064,1.0009662149545933,0.04491798153253241
22,165955,2.808666774861361e-17,0.0686686017240829,0.7104719642891537,18.27565240885916,1.0026939754309356,0.07416557064204546,1.000832028646898,0.04141968906543944
23,165965,0.0,0.1205025605461799,0.7663996513749665,19.563586450342694,1.002363586226569,0.06955658169229384,1.0009233332505352,0.04387544490383425
24,170394,3.0280938666474045e-17,0.2940493795506297,1.47812023151652,17.00527426665426,1.00290430769189,0.07939903406154482,1.007205327845615,0.1317422382895896
25,170396,-2.2820417545748557e-17,0.178406316384549,1.5262669973833285,17.102076614730425,1.002895831655669,0.07889094072282932,1.0061999741945657,0.11502430730977993
26,170411,2.8086667748613606e-17,0.190539252482369,1.6302709737207628,17.539174319307875,1.0024517706847944,0.07237857571752168,1.0060438727739727,0.11454334895056667
27,186997,0.0,0.2433913940655943,1.5983866497825967,19.48564432981199,1.0018941094928382,0.06322006928527452,1.0050271620774602,0.10497221862281048
28,187017,2.6331251014325257e-17,0.2680507989237044,1.26513487738923,18.81215808062287,1.0020032707539033,0.06536094364478176,1.0038422494975496,0.08707211157852959
29,187018,0.0,0.2248672834418486,1.2961227060401384,18.65179227927651,1.0020842962456675,0.06654219409935161,1.003780663905509,0.08575893028717754
30,187019,1.2287917140018455e-17,0.2120772957410861,1.3840772702901816,19.64319940344753,1.0019244766401194,0.06358682468383586,1.0036339184544496,0.08543072919621071
31,187020,-5.266250202865052e-18,0.3772256749357285,1.231265764028656,19.152301709102794,1.002128744188812,0.06703064398808918,1.0042380529077761,0.09281678361705041
32,187021,2.808666774861361e-17,0.3447457759272609,1.1431999140004627,19.20802439520426,1.0019668007649085,0.0644093800305438,1.0036055856515216,0.08384717401526412
33,187022,-7.021666937153403e-18,0.2684737415254654,1.389424982325718,20.758062002205154,1.0016433059452479,0.0597378502814806,1.0037110546248864,0.08673170351538204
34,187024,3.510833468576702e-17,0.50585256021844,1.0066444948127429,19.616711397466837,1.00188981946347,0.06306812679185451,1.003864305674895,0.0890695701765648
35,189646,1.5822223775773393e-17,0.2607096016150683,1.1562776033891118,20.280510115457997,1.002031151190109,0.06505258815834043,1.0025304585906456,0.07113639547860674
36,189647,3.385505893112526e-17,-0.0298919661500107,1.5798966122386748,19.814559265546276,1.0021254357623224,0.06654617391796398,1.003024218453412,0.07619882681144867
37,189649,-2.1065000811460205e-17,0.3139224454558886,1.1765575486108926,20.32062006892194,1.002083691481078,0.06508620689986816,1.0029398933302993,0.0765069882420207
38,189650,-6.001330960348298e-17,0.2080082984993358,1.3826736468332343,20.261984291864152,1.002036302961776,0.06501986010986419,1.003342369734868,0.08159460267785068
39,189651,-1.130049522698126e-17,0.3050018695665953,1.2163326127761127,19.48571484331776,1.0021941022288967,0.06758274117712322,1.0033694695110236,0.08185533089377102
