realization_index,shot,threshold,kind,fraction
26,170411,1e-06,absolute,0.0
26,170411,1e-05,absolute,0.0
26,170411,0.0001,absolute,0.003
26,170411,0.001,absolute,0.015
26,170411,0.01,absolute,0.086
26,170411,0.05,absolute,0.63
26,170411,0.1,absolute,0.908
27,186997,1e-06,absolute,0.0
27,186997,1e-05,absolute,0.0
27,186997,0.0001,absolute,0.001
27,186997,0.001,absolute,0.013
27,186997,0.01,absolute,0.168
27,186997,0.05,absolute,0.753
27,186997,0.1,absolute,0.98
28,187017,1e-06,absolute,0.0
28,187017,1e-05,absolute,0.0
28,187017,0.0001,absolute,0.0
28,187017,0.001,absolute,0.03
28,187017,0.01,absolute,0.246
28,187017,0.05,absolute,0.786
28,187017,0.1,absolute,0.973
29,187018,1e-06,absolute,0.0
29,187018,1e-05,absolute,0.0
29,187018,0.0001,absolute,0.002
29,187018,0.001,absolute,0.024
29,187018,0.01,absolute,0.224
29,187018,0.05,absolute,0.808
29,187018,0.1,absolute,0.962
30,187019,1e-06,absolute,0.0
30,187019,1e-05,absolute,0.0
30,187019,0.0001,absolute,0.001
30,187019,0.001,absolute,0.02
30,187019,0.01,absolute,0.277
30,187019,0.05,absolute,0.821
30,187019,0.1,absolute,0.964
31,187020,1e-06,absolute,0.0
31,187020,1e-05,absolute,0.0
31,187020,0.0001,absolute,0.003
31,187020,0.001,absolute,0.027
31,187020,0.01,absolute,0.268
31,187020,0.05,absolute,0.85
31,187020,0.1,absolute,0.969
32,187021,1e-06,absolute,0.0
32,187021,1e-05,absolute,0.001
32,187021,0.0001,absolute,0.004
32,187021,0.001,absolute,0.028
32,187021,0.01,absolute,0.289
32,187021,0.05,absolute,0.874
32,187021,0.1,absolute,0.97
33,187022,1e-06,absolute,0.0
33,187022,1e-05,absolute,0.0
33,187022,0.0001,absolute,0.002
33,187022,0.001,absolute,0.025
33,187022,0.01,absolute,0.269
33,187022,0.05,absolute,0.84
33,187022,0.1,absolute,0.965
34,187024,1e-06,absolute,0.0
34,187024,1e-05,absolute,0.0
34,187024,0.0001,absolute,0.002
34,187024,0.001,absolute,0.034
34,187024,0.01,absolute,0.294
34,187024,0.05,absolute,0.886
34,187024,0.1,absolute,0.969
35,189646,1e-06,absolute,0.0
35,189646,1e-05,absolute,0.0
35,189646,0.0001,absolute,0.005
35,189646,0.001,absolute,0.041
35,189646,0.01,absolute,0.332
35,189646,0.05,absolute,0.796
35,189646,0.1,absolute,0.985
36,189647,1e-06,absolute,0.0
36,189647,1e-05,absolute,0.001
36,189647,0.0001,absolute,0.001
36,189647,0.001,absolute,0.012
36,189647,0.01,absolute,0.115
36,189647,0.05,absolute,0.653
36,189647,0.1,absolute,0.907
37,189649,1e-06,absolute,0.0
37,189649,1e-05,absolute,0.0
37,189649,0.0001,absolute,0.007
37,189649,0.001,absolute,0.051
37,189649,0.01,absolute,0.377
37,189649,0.05,absolute,0.845
37,189649,0.1,absolute,0.965
38,189650,1e-06,absolute,0.0
38,189650,1e-05,absolute,0.0
38,189650,0.0001,absolute,0.002
38,189650,0.001,absolute,0.024
38,189650,0.01,absolute,0.319
38,189650,0.05,absolute,0.816
38,189650,0.1,absolute,0.954
39,189651,1e-06,absolute,0.0
39,189651,1e-05,absolute,0.0
39,189651,0.0001,absolute,0.005
39,189651,0.001,absolute,0.047
39,189651,0.01,absolute,0.345
39,189651,0.05,absolute,0.854
39,189651,0.1,absolute,0.964
40,189652,1e-06,absolute,0.0
40,189652,1e-05,absolute,0.0
40,189652,0.0001,absolute,0.0
40,189652,0.001,absolute,0.026
40,189652,0.01,absolute,0.267
40,189652,0.05,absolute,0.837
40,189652,0.1,absolute,0.983
41,195261,1e-06,absolute,0.0
41,195261,1e-05,absolute,0.0
41,195261,0.0001,absolute,0.001
41,195261,0.001,absolute,0.023
41,195261,0.01,absolute,0.229
41,195261,0.05,absolute,0.792
41,195261,0.1,absolute,0.979
42,195264,1e-06,absolute,0.0
42,195264,1e-05,absolute,0.0
42,195264,0.0001,absolute,0.0
42,195264,0.001,absolute,0.004
42,195264,0.01,absolute,0.085
42,195264,0.05,absolute,0.519
42,195264,0.1,absolute,0.958
43,195265,1e-06,absolute,0.0
43,195265,1e-05,absolute,0.0
43,195265,0.0001,absolute,0.0
43,195265,0.001,absolute,0.017
43,195265,0.01,absolute,0.188
43,195265,0.05,absolute,0.783
43,195265,0.1,absolute,0.987
44,195266,1e-06,absolute,0.0
44,195266,1e-05,absolute,0.0
44,195266,0.0001,absolute,0.0
44,195266,0.001,absolute,0.02
44,195266,0.01,absolute,0.185
44,195266,0.05,absolute,0.772
44,195266,0.1,absolute,0.976
45,195267,1e-06,absolute,0.0
45,195267,1e-05,absolute,0.0
45,195267,0.0001,absolute,0.004
45,195267,0.001,absolute,0.031
45,195267,0.01,absolute,0.28
45,195267,0.05,absolute,0.837
45,195267,0.1,absolute,0.992
46,195268,1e-06,absolute,0.0
46,195268,1e-05,absolute,0.0
46,195268,0.0001,absolute,0.005
46,195268,0.001,absolute,0.041
46,195268,0.01,absolute,0.354
46,195268,0.05,absolute,0.852
46,195268,0.1,absolute,0.985
47,195269,1e-06,absolute,0.0
47,195269,1e-05,absolute,0.0
47,195269,0.0001,absolute,0.003
47,195269,0.001,absolute,0.016
47,195269,0.01,absolute,0.255
47,195269,0.05,absolute,0.834
47,195269,0.1,absolute,0.961
48,195273,1e-06,absolute,0.0
48,195273,1e-05,absolute,0.002
48,195273,0.0001,absolute,0.002
48,195273,0.001,absolute,0.024
48,195273,0.01,absolute,0.212
48,195273,0.05,absolute,0.778
48,195273,0.1,absolute,0.944
49,195274,1e-06,absolute,0.0
49,195274,1e-05,absolute,0.001
49,195274,0.0001,absolute,0.01
49,195274,0.001,absolute,0.039
49,195274,0.01,absolute,0.288
49,195274,0.05,absolute,0.857
49,195274,0.1,absolute,0.98
50,195626,1e-06,absolute,0.0
50,195626,1e-05,absolute,0.0
50,195626,0.0001,absolute,0.002
50,195626,0.001,absolute,0.016
50,195626,0.01,absolute,0.107
50,195626,0.05,absolute,0.574
50,195626,0.1,absolute,0.905
51,195638,1e-06,absolute,0.0
51,195638,1e-05,absolute,0.0
51,195638,0.0001,absolute,0.0
51,195638,0.001,absolute,0.025
51,195638,0.01,absolute,0.223
51,195638,0.05,absolute,0.8
51,195638,0.1,absolute,0.972
52,195642,1e-06,absolute,0.0
52,195642,1e-05,absolute,0.0
52,195642,0.0001,absolute,0.004
52,195642,0.001,absolute,0.019
52,195642,0.01,absolute,0.185
52,195642,0.05,absolute,0.753
52,195642,0.1,absolute,0.959
53,195645,1e-06,absolute,0.0
53,195645,1e-05,absolute,0.0
53,195645,0.0001,absolute,0.0
53,195645,0.001,absolute,0.004
53,195645,0.01,absolute,0.077
53,195645,0.05,absolute,0.617
53,195645,0.1,absolute,0.944
54,195647,1e-06,absolute,0.0
54,195647,1e-05,absolute,0.0
54,195647,0.0001,absolute,0.001
54,195647,0.001,absolute,0.013
54,195647,0.01,absolute,0.178
54,195647,0.05,absolute,0.751
54,195647,0.1,absolute,0.961
55,195648,1e-06,absolute,0.0
55,195648,1e-05,absolute,0.0
55,195648,0.0001,absolute,0.002
55,195648,0.001,absolute,0.012
55,195648,0.01,absolute,0.194
55,195648,0.05,absolute,0.785
55,195648,0.1,absolute,0.984
56,195649,1e-06,absolute,0.0
56,195649,1e-05,absolute,0.0
56,195649,0.0001,absolute,0.003
56,195649,0.001,absolute,0.044
56,195649,0.01,absolute,0.254
56,195649,0.05,absolute,0.886
56,195649,0.1,absolute,1.0
57,195650,1e-06,absolute,0.0
57,195650,1e-05,absolute,0.0
57,195650,0.0001,absolute,0.002
57,195650,0.001,absolute,0.024
57,195650,0.01,absolute,0.28
57,195650,0.05,absolute,0.839
57,195650,0.1,absolute,0.995
58,195651,1e-06,absolute,0.0
58,195651,1e-05,absolute,0.0
58,195651,0.0001,absolute,0.001
58,195651,0.001,absolute,0.011
58,195651,0.01,absolute,0.172
58,195651,0.05,absolute,0.721
58,195651,0.1,absolute,0.952
