tau_A,kind,retained_rows,retained_fraction,n_discharges_retained,pooled_explicit_rmse,pooled_explicit_mae,pooled_implicit_rmse,median_inv_abs_A,q95_inv_abs_A
1e-06,absolute,61999,0.9999838709677419,62,73.38725019120602,3.1971830275365547,0.05758511887983622,33.686227829441854,391.93725937081734
1e-05,absolute,61986,0.9997741935483871,62,25.592212309597564,2.502834376734804,0.05759062138111873,33.68318145619739,389.74088846678455
0.0001,absolute,61854,0.9976451612903225,62,9.431960851245938,1.832504503366622,0.05764789237098142,33.57823307261013,375.08855614286307
0.001,absolute,60755,0.9799193548387096,62,3.0500751304350975,1.2698521759310832,0.05805146907895367,32.83944736942564,283.2493749726036
0.01,absolute,50009,0.8065967741935484,62,1.3104800389797788,0.8171012949111182,0.06288987510524158,26.436095951925882,82.1932536824406
0.05,absolute,18055,0.29120967741935483,62,0.9817035835720422,0.6775206223747594,0.09288342311427274,13.202521597827532,19.271308372671193
0.1,absolute,4610,0.07435483870967742,61,0.9994892330035136,0.6846931688453033,0.14198436666188183,8.24579065133453,9.813401196842495
