realization_index,shot,n_finite,coverage,explicit_rmse,explicit_mae,explicit_median_abs,explicit_q90_abs,explicit_q95_abs,explicit_q99_abs,explicit_max_abs,implicit_rmse,median_amplification,q95_amplification
0,155537,1000,1.0,8.671851553580678,2.3221789827155956,0.6951206157283858,4.408438472349324,7.863529599698233,25.06136261395569,119.81282842939659,0.05815626535159004,36.214046295987764,298.6526739996157
1,159310,1000,1.0,6.999288009641058,1.3261551732760655,0.4536256990204922,1.6197668766027609,2.276043269820331,16.296433108199345,123.0729822138404,0.04380499383006854,29.943509813970877,215.40264463792332
2,160715,1000,1.0,3.3276086104977125,1.170595707625696,0.46987041478162406,1.820276861000688,3.969624572962446,12.781310164878636,54.83868319075506,0.07605122311542489,18.252296001413523,65.95162067364248
3,160717,1000,1.0,22.74955800890587,1.9004500090086656,0.5206641554145326,2.510534969074982,4.2284527200288995,11.8255690558888,712.4123384384359,0.07233780360563145,16.694911774856482,56.933798694341846
4,160719,1000,1.0,29.74837630765392,4.679934932684973,0.8369354149705384,6.1112617163722005,10.779566275912991,46.40424808625652,472.1666622271786,0.06361405675449142,36.88907428764624,412.61509762657374
5,160720,1000,1.0,18.886168442830442,1.6000441091589224,0.5187519027183168,1.5809252029635639,2.9057353082688593,19.29220909972513,591.284088364331,0.111305709890249,9.362986189409831,27.461221404680828
6,160721,1000,1.0,13.551767437916334,2.5376585460868855,0.7527539195436428,3.1856628561628875,5.661006425772531,27.66348598293777,206.0398344252705,0.05693322154292767,37.258950934191354,350.82977312237455
7,161136,1000,1.0,12.176729680335113,2.8113863214988304,0.8685177013942504,4.32866221680537,8.185847780469027,36.345176527731,273.3183379469197,0.0635302046033072,40.479941757153746,360.38440706343937
8,161138,1000,1.0,105.69918035283335,7.011038126501489,0.7923999106561759,3.6607288739991843,6.5473940328927815,34.41506042073024,2366.5949464837654,0.04474086013253887,38.0411843721,312.1443919212007
9,161145,1000,1.0,26.920188497277042,3.7828782862475294,0.9909784653630971,4.109988034267891,8.082516383926766,35.35962019060925,482.6642704629147,0.04866207363689368,58.50543218454452,1055.8342899986906
10,161414,1000,1.0,19.61022359180667,1.611203368471547,0.4144385586720417,1.3155391842502875,1.920612894174969,8.09062418907515,593.7363255109036,0.026544904154996753,36.01189089241303,291.0788058225182
11,165017,1000,1.0,5.076033611698573,1.3644088824386795,0.6026601123220975,2.2760947829225397,4.177222826605915,11.085283474655474,110.36450971029971,0.04931204876519167,35.9217340672298,416.1782802613188
12,165022,1000,1.0,2.9870305040670977,1.1133477560304346,0.6114745152705171,1.7346677858979027,2.4947974401861317,12.314928559578732,46.029735512115025,0.08953757341333683,16.49814896256035,57.802549513451325
13,165026,1000,1.0,5.988559440466563,1.001577138325307,0.42733424433062667,1.251595529095347,1.836988464760651,6.91306384554073,126.21587090156153,0.05981778243226998,16.94193733024327,99.87140506349989
14,165027,1000,1.0,41.732369984018064,5.5536161875222385,0.9788169307763532,3.596501166372987,5.4463412646562395,117.67176481090651,686.9541387508393,0.06976534194906724,30.409050450487037,281.49713065050673
15,165028,1000,1.0,8.03078527848884,1.4406938880067763,0.5095285572081447,1.5439743456785873,2.286191662828493,11.587270533108923,127.73731447329698,0.043292626243392376,29.57793715955377,289.8890336072297
16,165029,1000,1.0,9.53778360881294,1.3350211156552736,0.5526139309535023,1.8457650775198238,2.7073756461773217,6.378087399126126,210.5328038973666,0.05206050094790474,27.529811977172763,241.44024719654035
17,165031,1000,1.0,5.120119035970125,1.0811686225061932,0.5529748525363464,1.8496719117891223,2.46991356192505,8.14217021911723,144.64302263685158,0.04967556472784536,29.267677931719305,201.05899103201034
18,165042,1000,1.0,17.573116982500665,2.1713695224628817,0.5049908079795886,1.904220271624528,4.24172751355475,22.258494267732917,346.67172686685,0.03893428001915412,33.24271597927835,463.6204953299128
19,165043,1000,1.0,4.908138315095591,1.2095494609119073,0.47386208102821264,1.5796730923523372,2.5818048157580242,19.537017174395793,83.98803515789412,0.036856182345112974,39.97297742114157,604.409373624064
20,165860,1000,1.0,1375.598890010952,62.33367899129387,1.390032425070827,8.165616941422721,15.923105382121014,88.04549475346224,42888.76391018591,0.06121993701562313,68.48030560894713,794.9320363414142
21,165861,1000,1.0,5.0253512940848,1.199218576949852,0.552945101544718,1.664120050205642,2.417396096400419,11.106504127654597,85.62524435520793,0.034947201403708425,37.32414995743509,243.48729426841868
22,165955,1000,1.0,123.3018723110051,8.545975105886711,0.568554146318121,2.1735172009378707,3.08783363974691,33.12510214409561,2251.8307632163423,0.03418861913501016,57.42146520056763,598.1428291082071
23,165965,1000,1.0,14.547609875346211,1.5704375558445314,0.5594773819227563,1.7082086923358093,2.4562066680576797,6.847171735944187,323.03421237461674,0.03698457544476026,35.23937018390498,252.58195507178866
24,170394,1000,1.0,6.968338882198705,1.1975966704636827,0.48041882650312034,1.3130073732785212,2.086798982299914,11.211479236596894,157.68953211715996,0.13197480505839873,8.0661863795338,14.39867415950747
