shift_multiplier,median_rel_coef_change,max_rel_coef_change
0.0,1.0319358298494128,1.6873070327838684
0.75,0.25340674609750274,0.3467917455462491
0.9,0.08571980376393272,0.11491565090089753
0.95,0.04092830820617664,0.05477489903915233
0.99,0.0078995530954694,0.010547780666373486
1.0,8.597819512702354e-17,1.5319466158109757e-16
1.01,0.007763532863722177,0.01035144366194774
1.05,0.037522682158564566,0.0498694498584421
1.1,0.0722733851851354,0.09530427159943576
1.25,0.16347149992990223,0.2094513372861109
