realization_index,shot,min_A,max_A,median_A,min_abs_A,q0001_abs_A,q001_abs_A,q005_abs_A,q01_abs_A,q025_abs_A,q05_abs_A,q10_abs_A,q25_abs_A,median_abs_A,max_inv_abs_A,q50_inv_abs_A,q95_inv_abs_A,n_exact_zero_A,n_sign_changes_A,frac_abs_lt_1e-06,frac_rel_lt_1e-06,frac_abs_lt_1e-05,frac_rel_lt_1e-05,frac_abs_lt_0.0001,frac_rel_lt_0.0001,frac_abs_lt_0.001,frac_rel_lt_0.001,frac_abs_lt_0.01,frac_rel_lt_0.01,frac_abs_lt_0.05,frac_rel_lt_0.05,frac_abs_lt_0.1,frac_rel_lt_0.1,rel_frac_abs_lt_0.0001,rel_frac_rel_lt_0.0001,rel_frac_abs_lt_0.001,rel_frac_rel_lt_0.001,rel_frac_abs_lt_0.01,rel_frac_rel_lt_0.01,rel_frac_abs_lt_0.05,rel_frac_rel_lt_0.05,rel_frac_abs_lt_0.1,rel_frac_rel_lt_0.1,rel_frac_abs_lt_0.25,rel_frac_rel_lt_0.25
40,189652,-0.21067036521156968,0.10061260198872879,-0.005453039780544733,0.00013515303560329706,0.0001359305426403306,0.0001429281059736326,0.00022373010915318625,0.0006133705594801542,0.000978448173464605,0.0019621004333651828,0.004682682566676256,0.009478001606456926,0.022378502720516336,7399.0199001908695,44.68574234192142,509.657906901793,0,90,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.026,0.267,0.267,0.837,0.837,0.983,0.983,0.0,0.0,0.026,0.0,0.267,0.006,0.837,0.028,0.983,0.059,1.0,0.134
41,195261,-0.1500193907574534,0.10116751509511368,0.010674794177184033,2.2911130140967906e-05,3.1807633388257874e-05,0.00011187616261386757,0.0001803388222433977,0.0004902286244464094,0.0010633572082176079,0.00219787358501064,0.005154058680684382,0.01068554009647904,0.02423843660617464,43646.90846096141,41.256786328589115,455.00413728110965,0,104,0.0,0.0,0.0,0.0,0.001,0.001,0.023,0.023,0.229,0.229,0.792,0.792,0.979,0.979,0.001,0.0,0.023,0.001,0.229,0.007,0.792,0.03,0.979,0.055,1.0,0.128
42,195264,-0.16640515044104964,0.15789486364238992,0.04488034502932797,0.0003666010918788043,0.0003737985415719381,0.0004385755888101425,0.0010363219808122587,0.0016645656685683175,0.002853637854850233,0.005803278520836287,0.01174173812351971,0.032012449600890974,0.048371805306555715,2727.7605608730505,20.673246879283283,172.32270122148327,0,70,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.085,0.085,0.519,0.519,0.958,0.958,0.0,0.0,0.004,0.0,0.085,0.002,0.519,0.023,0.958,0.042,1.0,0.103
43,195265,-0.19608070558924073,0.10679551022687883,0.019730959869262765,0.00020445079835262892,0.0002128083172821244,0.0002880259876475836,0.00043042017832255696,0.0007549791824319452,0.0014416086619036125,0.002458376362205317,0.005440266865964205,0.013026936020599567,0.025546899321625627,4891.152336197965,39.14369483384337,406.77285063987426,0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.017,0.188,0.188,0.783,0.783,0.987,0.987,0.0,0.0,0.017,0.0,0.188,0.001,0.783,0.022,0.987,0.051,1.0,0.114
44,195266,-0.15832818512211677,0.13695912098967677,0.014818084871677906,0.00011366971908699508,0.00011416331325152049,0.00011860566073224921,0.00029626127974369146,0.000600983930544573,0.001101917340286096,0.002399134159368754,0.00498336143322996,0.012619455511400368,0.025088915982996285,8797.41771187688,39.85953774530307,416.81704047059793,0,98,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.185,0.185,0.772,0.772,0.976,0.976,0.0,0.0,0.02,0.0,0.185,0.003,0.772,0.029,0.976,0.051,1.0,0.125
45,195267,-0.22287597753993282,0.10538919719390494,0.002991400382760412,1.1352105262707468e-05,1.455947956545609e-05,4.342584829019369e-05,0.0002200455507050453,0.00044305964202104645,0.0009012593355737231,0.0015782963998907554,0.0030579869074793707,0.00840705560962307,0.0208377337198144,88089.38755043756,47.98986392432856,633.6446166184458,0,119,0.0,0.0,0.0,0.0,0.004,0.004,0.031,0.031,0.28,0.28,0.837,0.837,0.992,0.992,0.004,0.0,0.031,0.001,0.28,0.005,0.837,0.033,0.992,0.074,1.0,0.181
46,195268,-0.19154629504987553,0.09671035685020446,0.0017335642217979896,1.014884947636574e-05,1.037386549285325e-05,1.2399009641240854e-05,0.00013161192522315903,0.00021479061595363946,0.0006049659547396474,0.001250879337683558,0.002469143335697277,0.006149350494553368,0.01617346948939402,98533.33644653638,61.82965624600843,799.4659866827175,0,127,0.0,0.0,0.0,0.0,0.005,0.005,0.041,0.041,0.354,0.354,0.852,0.852,0.985,0.985,0.005,0.0,0.041,0.002,0.354,0.007,0.852,0.031,0.985,0.061,1.0,0.175
47,195269,-0.26886055037191314,0.13355111961487387,0.007036509462195417,3.1576212182748975e-05,3.157621218276007e-05,3.157621218285989e-05,0.00032477401559541266,0.0008391860477229251,0.0012204218471248778,0.0023039351373442597,0.004463418117987649,0.009603258221472205,0.021190252262980547,31669.409687661326,47.196164645550674,434.075307213156,0,128,0.0,0.0,0.0,0.0,0.003,0.003,0.016,0.016,0.255,0.255,0.834,0.834,0.961,0.961,0.003,0.0,0.016,0.0,0.255,0.003,0.834,0.016,0.961,0.048,0.998,0.13
48,195273,-0.33874982074643545,0.1755800983634006,0.012182222430686285,7.33538362096553e-06,7.335383621032077e-06,7.335383621630998e-06,0.00027512960262698893,0.0005112820245128813,0.0011568133704434713,0.002080273996228443,0.004229145522788436,0.011816488113558121,0.026515602567591,136325.52183663077,37.71364416293754,480.7059078818509,0,128,0.0,0.0,0.002,0.002,0.002,0.002,0.024,0.024,0.212,0.212,0.778,0.778,0.944,0.944,0.002,0.0,0.024,0.002,0.212,0.004,0.778,0.033,0.944,0.067,0.998,0.138
49,195274,-0.1500533882641315,0.10407715897432768,0.0016951230246448623,2.268751972178684e-06,5.0473221639814714e-06,3.0054453890206555e-05,5.844979403447637e-05,0.00010364219842880053,0.0004792161347314694,0.0014119693486363827,0.003003292706055649,0.008033452976750344,0.01983299458121124,440770.96670893434,50.42110810997499,708.2317852283081,0,110,0.0,0.0,0.001,0.001,0.01,0.01,0.039,0.039,0.288,0.288,0.857,0.857,0.98,0.98,0.01,0.0,0.039,0.001,0.288,0.015,0.857,0.039,0.98,0.073,1.0,0.162
50,195626,-0.1778802847058064,0.16292109928141008,0.03874163505853068,9.188347748523285e-05,9.188347748523285e-05,9.188347748523285e-05,0.0002008577733585326,0.000493755163497166,0.0020238844745376853,0.0036336904252167518,0.009243059949457101,0.022937236970325764,0.044041529422392034,10883.349513634985,22.70587145070229,275.26566354606376,0,74,0.0,0.0,0.0,0.0,0.002,0.002,0.016,0.016,0.107,0.107,0.574,0.574,0.905,0.905,0.002,0.0,0.016,0.0,0.107,0.009,0.574,0.032,0.905,0.056,1.0,0.11
51,195638,-0.20518471243495762,0.14287960935591137,0.011596947568577098,0.00021507951411969817,0.00022863901702674616,0.0003506745431901782,0.00041655247933758356,0.0004884549991441956,0.001059037464115395,0.002606959990948371,0.004366927612060623,0.011024036989414815,0.02367972797189044,4649.443272609729,42.23022427191586,383.5982147102122,0,85,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.025,0.223,0.223,0.8,0.8,0.972,0.972,0.0,0.0,0.025,0.0,0.223,0.001,0.8,0.031,0.972,0.049,1.0,0.136
52,195642,-0.18112733720839547,0.1340860878640544,0.01447214250113421,2.7761896605693615e-05,2.776189660574907e-05,2.776189660624817e-05,0.00029421458069646465,0.0006842768668769528,0.00131933019707354,0.0024359193351719544,0.00483132338286989,0.013063164847171627,0.027044837855862203,36020.59377293814,36.975661238325884,410.52458067845663,0,112,0.0,0.0,0.0,0.0,0.004,0.004,0.019,0.019,0.185,0.185,0.753,0.753,0.959,0.959,0.004,0.0,0.019,0.0,0.185,0.005,0.753,0.027,0.959,0.057,1.0,0.136
53,195645,-0.12822710125505166,0.13630289665737338,0.04105046892304692,0.0004111444089739402,0.0004111444089739624,0.00041114440897416205,0.0010285830675539342,0.0019618888230773326,0.004201346610192972,0.007101356992490993,0.01281639796353078,0.028940929992966852,0.043543474768989954,2432.2354340063116,22.96555440910818,140.81816613479617,0,50,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.004,0.077,0.077,0.617,0.617,0.944,0.944,0.0,0.0,0.004,0.0,0.077,0.002,0.617,0.011,0.944,0.029,1.0,0.085
54,195647,-0.15528247873122858,0.13240730069945916,0.017926431327274894,4.966306883513738e-05,6.150419450944418e-05,0.00016807432557820534,0.0003363896177071124,0.000858551045160324,0.0018767569303914655,0.003378235794034723,0.00542575344285684,0.014020610096864755,0.02855577835806128,20135.68680823213,35.019195055777196,296.0125263379401,0,102,0.0,0.0,0.0,0.0,0.001,0.001,0.013,0.013,0.178,0.178,0.751,0.751,0.961,0.961,0.001,0.0,0.013,0.0,0.178,0.003,0.751,0.018,0.961,0.042,1.0,0.132
55,195648,-0.1569980314474756,0.11022010741037802,0.015362732327057316,8.645813225827137e-05,8.645813225827137e-05,8.645813225827137e-05,0.0006691552083077524,0.0009861050719456154,0.0016776621338638804,0.003183327517360535,0.00578261498244399,0.013405497409961192,0.02724643022886375,11566.291959821176,36.70205570418693,314.16639033332405,0,96,0.0,0.0,0.0,0.0,0.002,0.002,0.012,0.012,0.194,0.194,0.785,0.785,0.984,0.984,0.002,0.0,0.012,0.0,0.194,0.003,0.785,0.018,0.984,0.042,1.0,0.118
56,195649,-0.08487857753100836,0.09704848812788358,0.016594455314292267,1.4793500559551198e-05,1.973011529284543e-05,6.415964789249351e-05,0.00011782113747526968,0.0002549938884019576,0.0005690334278829479,0.0011329511083482623,0.003429375804417134,0.009942829352982435,0.020590251520299696,67597.25299461764,48.56669985541761,882.6507420374871,0,83,0.0,0.0,0.0,0.0,0.003,0.003,0.044,0.044,0.254,0.254,0.886,0.886,1.0,1.0,0.003,0.0,0.044,0.001,0.254,0.008,0.886,0.044,1.0,0.067,1.0,0.153
57,195650,-0.11234010773564629,0.11041546730361318,0.010505525983584119,5.9517185273638695e-05,6.206961133011812e-05,8.504144583843299e-05,0.00027092310283005627,0.0004466399782650676,0.0011150743595322837,0.002353324898394294,0.003955251252021508,0.009005921118651311,0.019718986929946558,16801.86983645746,50.712557299484146,425.00207213352223,0,105,0.0,0.0,0.0,0.0,0.002,0.002,0.024,0.024,0.28,0.28,0.839,0.839,0.995,0.995,0.002,0.0,0.024,0.0,0.28,0.002,0.839,0.024,0.995,0.048,1.0,0.143
58,195651,-0.1743466650587716,0.1394791503120263,0.01998134266684759,6.693112055511374e-05,7.169583220932554e-05,0.0001145782370972317,0.00042151225615727315,0.000903031230589334,0.0017222001231077422,0.0036621261547044536,0.005946170436454156,0.014467077707766451,0.03171057473636446,14940.732976023617,31.535221556651216,273.06740842304464,0,86,0.0,0.0,0.0,0.0,0.001,0.001,0.011,0.011,0.172,0.172,0.721,0.721,0.952,0.952,0.001,0.0,0.011,0.0,0.172,0.004,0.721,0.02,0.952,0.042,1.0,0.139
59,195652,-0.3267426854634019,0.14154407857005658,0.03613882513718414,3.780349936399752e-05,3.934145704407004e-05,5.318307616472273e-05,0.00033981893225102256,0.0006405335353152353,0.002181908791903664,0.0032445495759592714,0.007452137961637051,0.020015783556040667,0.03823936532519123,26452.577587363736,26.151345974574575,308.20934087399814,0,64,0.0,0.0,0.0,0.0,0.003,0.003,0.014,0.014,0.126,0.126,0.695,0.695,0.936,0.936,0.003,0.0,0.014,0.001,0.126,0.006,0.695,0.023,0.936,0.057,0.997,0.123
60,195655,-0.15364215363738343,0.15338933278767874,0.003020866882089468,6.36184730724576e-05,6.36184730724576e-05,6.36184730724576e-05,0.00010810057787280169,0.00038606477889617464,0.0009685574693074795,0.001937606177686191,0.003984681592017069,0.010744293957509365,0.024788390889006973,15718.704830608875,40.341469501058185,516.1068186474953,0,102,0.0,0.0,0.0,0.0,0.004,0.004,0.026,0.026,0.234,0.234,0.807,0.807,0.968,0.968,0.004,0.0,0.026,0.0,0.234,0.007,0.807,0.033,0.968,0.063,1.0,0.138
61,195659,-0.12089724655722356,0.12199951274484044,0.014046546469563437,3.030675789994497e-05,3.108959151293034e-05,3.813509402979864e-05,9.310766062653242e-05,0.00024763926020962004,0.0013014654671877656,0.0028740974191683757,0.004879149070744803,0.012441769799803049,0.02526163858599051,32995.94114624236,39.5857237069328,347.953583710226,0,84,0.0,0.0,0.0,0.0,0.007,0.007,0.025,0.025,0.203,0.203,0.737,0.737,0.973,0.973,0.007,0.0,0.025,0.0,0.203,0.011,0.737,0.025,0.973,0.046,1.0,0.126
