realization_index,shot,sample_index,crossing_time,A_left,A_right,B_left,B_right,y,residual,den_kappa,den_betan,B_also_small
0,155537,20,202.6553051820145,0.0070479551475477464,-0.009341444057122561,0.00024657075296585264,0.07229177097545829,0.14970460932412544,0.0008085406189314026,16.06621853473896,17.22724513863333,True
0,155537,28,241.57553252647,-0.02523007465065652,0.016896013722435765,0.13712969139460798,-0.06846817396045657,0.7441101279042606,-0.15590364546993862,14.52419033779392,17.31213539385295,False
0,155537,51,351.6423568048596,0.001933763245721254,-0.0008263184311587679,0.04820713024949804,0.0598657405001492,-0.07562362814159802,-0.04835336844210348,16.49310701586016,16.874380692950645,False
0,155537,53,358.75468200870574,-0.0008263184311582128,0.0034460597327645726,0.05993445683255122,0.0425686484386263,0.9310155983315069,-0.06070377218114498,16.363153109902775,16.870045153891713,False
0,155537,160,868.1676554996108,0.0016101705911509834,-0.01263231781309948,0.019385942607624176,0.030394300620986914,1.342456094027591,-0.017224359285106905,17.076255463722624,16.59182483339527,False
0,155537,163,883.3570938703374,-0.005561432406045563,0.01290685944437453,0.040598225964689316,0.04142154280638572,0.5680296812635217,-0.043757284641664174,16.868588066287234,16.512180276886827,False
0,155537,277,1428.2065708491293,0.017052822363082476,-0.008844677129104195,0.009550839994145828,0.013793884067376225,0.0925403941063727,-0.007972765092040021,17.09509176021592,16.96642094667191,False
0,155537,280,1441.6630620027265,-0.008844677129104195,0.009473767694535562,0.013541538926826031,-0.0016415433869143463,-0.1559948576046032,-0.012161814777512353,17.10029524607457,16.331536686416165,False
0,155537,311,1590.6337478713772,0.0023013829495773797,-0.0007672059661659736,0.021991244068586376,0.009316736240662135,0.14801938640075143,-0.021650594776514986,16.9644281761544,16.65920340663579,False
0,155537,313,1597.5357470069255,-0.0007672059661666397,0.003095334298405805,0.00928407962189143,0.00738314590907488,0.9767664115523808,-0.010033460640384462,17.082657276831153,16.531492976528888,False
0,155537,357,1807.974313932134,0.013779813787215822,-0.023752365207002746,-0.039815443505632445,-0.19955482133402203,-0.7848759489046611,0.02899999908365869,17.91183579915685,16.53116476857609,False
0,155537,361,1826.9279362290727,-0.005228707229197771,0.009914518919204252,-0.110051305105763,-0.05976705639720386,1.532386594493552,0.10203890424120776,18.276421758243313,15.950265052837556,False
0,155537,364,1843.0762601914687,0.009914518919203696,-0.0035815600028155092,-0.05880272698766867,-0.021535160099048073,0.5389690352945713,0.06414634568496302,18.021204311078968,16.39532248895155,False
0,155537,368,1862.8034372304205,-0.02248678317645958,0.0032089052862660505,0.053664819200209365,0.022900555018918106,-1.0608152340367016,-0.029810497042140005,16.70463529115144,16.1870629679826,False
0,155537,391,1972.1318310922468,0.005097849030171631,-0.0011051864560427394,0.002444251204809315,-0.0005223685637008087,0.03068828865856219,-0.002287806942233541,17.308581517545395,16.57398837787834,False
