realization_index,shot,feature,display_name,target_dependent,affine_in_target,alpha_min,alpha_q01,alpha_median,alpha_q99,alpha_max,beta_min,beta_median,beta_max,affine_test_max_error
0,155537,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5453776420676207,0.6076465956813485,0.7890040168756733,0.8626348884153134,0.9354580701743835,-4.1531413086646936,0.05253735817653826,2.5807475657786405,4.6074255521944e-15
0,155537,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.42356839182415,0.4374373611055732,0.522829760058678,0.6192465216646307,0.7552205549305782,-1.717855173233139,-0.004323872878921442,4.00739698096158,3.0531133177191805e-15
0,155537,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.796168676660621,-0.11088453883332734,7.551080210548346,0.0
0,155537,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.4472125164411945,-0.23211556753808596,9.037189242728887,0.0
0,155537,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.6881878996466986,-0.06523371747147953,5.080812204621983,0.0
0,155537,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-5.377053001397181,-0.09398871586726065,3.929450909735029,0.0
0,155537,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.9636672285154533,0.006942777704143247,5.016071532918596,0.0
1,159310,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5671589296503963,0.5771786002016948,0.7363927958199207,0.8073293252969033,0.8842986815984148,-3.2608688644944106,0.04635318505041752,2.936777056913611,4.884981308350689e-15
1,159310,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,1.3551380597441034,1.4021961267400995,1.5799799781220678,1.8455153352499714,2.3486798750443807,-4.379082845177084,0.014849450718607216,15.0370273760145,1.0436096431476471e-14
1,159310,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.3602551350615526,-0.11005717345572623,5.688311630088311,0.0
1,159310,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.8656235956476988,-0.060595873003190595,11.458445166372375,0.0
1,159310,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-2.5424425312418024,-0.11612673891732003,6.340713616800399,0.0
1,159310,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-6.408928261525032,-0.019204612445270774,3.220033089151496,0.0
1,159310,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-2.4000075874317988,0.00036504274179678144,8.149109495922094,0.0
2,160715,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.569220731765022,0.6535223281338894,0.773663093154819,0.8741715316105194,1.0093866915627137,-3.8106434728862286,0.0554102874459117,4.512999692247929,4.9404924595819466e-15
2,160715,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.44741060440189784,0.4590650707486236,0.528060974251295,0.6148927188663778,0.7401466085619117,-1.571444297597786,-0.046326589560980125,3.964263282641051,3.4416913763379853e-15
2,160715,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.50415007059161,-0.1148299543367903,6.6357632747589195,0.0
2,160715,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.9135942161926619,-0.25317507345443413,8.220394320635098,0.0
2,160715,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.941514336076767,-0.18541709963902503,5.561135987241917,0.0
2,160715,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-5.421133299707416,-0.0034911766412451736,3.404644724357107,0.0
2,160715,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-3.151691942283932,-0.03886588511437816,5.825875777839165,0.0
3,160717,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5281418162572368,0.6408722040926769,0.7888111300368713,0.8737913307414932,1.0594761512043926,-4.445321696908774,0.0388698813258479,4.695013678397983,4.551914400963142e-15
3,160717,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.4203007300621864,0.4515395863003922,0.512925984811846,0.6104345892170219,0.6737059384887257,-1.6748408402536885,-0.08144504978718992,2.684389193503568,2.9976021664879227e-15
3,160717,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.464590974728926,-0.09379160957335803,8.350423270690326,0.0
3,160717,r[q95]/r[kappa],q95 / kappa,False,True,0.0,0.0,0.0,0.0,0.0,-0.8282726245970023,-0.20688491360077485,6.872727430095832,0.0
3,160717,d[kappa]/d[betan],D_betaN kappa,False,True,0.0,0.0,0.0,0.0,0.0,-3.6884737242757097,-0.13073196542200222,5.742188262129845,0.0
3,160717,d[betan]/d[t],dot beta_N,False,True,0.0,0.0,0.0,0.0,0.0,-4.063499421631166,0.05503825645076989,3.858252499630217,0.0
3,160717,d[li]/d[betan],D_betaN l_i,False,True,0.0,0.0,0.0,0.0,0.0,-3.3099826547696014,-0.11502670787334464,5.572322160525689,0.0
4,160719,d[pcdiamag3]/d[kappa],D_kappa W_dia,True,True,0.5960279167648985,0.6207080086250025,0.7942084340927809,0.9032746409399385,1.0620273299042775,-3.3558760989880536,0.02597898371592322,4.59617945678154,4.551914400963142e-15
4,160719,d[pcdiamag3]/d[betan],D_betaN W_dia,True,True,0.4387108985612228,0.4632975634014183,0.5445304094181815,0.6363092181843266,0.7134868607218566,-1.8018942445610664,0.00386474459717423,2.8870252151676645,3.164135620181696e-15
4,160719,d[kappa]/d[t],dot kappa,False,True,0.0,0.0,0.0,0.0,0.0,-4.361418627369526,-0.0777444447724145,5.570393068785002,0.0
