realization_index,shot,sample_index_left,sample_index_right,value_left,value_right,crossing_time
0,155537,20,21,0.0070479551475477464,-0.009341444057122561,202.6553051820145
0,155537,28,29,-0.02523007465065652,0.016896013722435765,241.57553252647
0,155537,51,52,0.001933763245721254,-0.0008263184311587679,351.6423568048596
0,155537,53,54,-0.0008263184311582128,0.0034460597327645726,358.75468200870574
0,155537,160,161,0.0016101705911509834,-0.01263231781309948,868.1676554996108
0,155537,163,164,-0.005561432406045563,0.01290685944437453,883.3570938703374
0,155537,277,278,0.017052822363082476,-0.008844677129104195,1428.2065708491293
0,155537,280,281,-0.008844677129104195,0.009473767694535562,1441.6630620027265
0,155537,311,312,0.0023013829495773797,-0.0007672059661659736,1590.6337478713772
0,155537,313,314,-0.0007672059661666397,0.003095334298405805,1597.5357470069255
0,155537,357,358,0.013779813787215822,-0.023752365207002746,1807.974313932134
0,155537,361,362,-0.005228707229197771,0.009914518919204252,1826.9279362290727
0,155537,364,365,0.009914518919203696,-0.0035815600028155092,1843.0762601914687
0,155537,368,369,-0.02248678317645958,0.0032089052862660505,1862.8034372304205
0,155537,391,392,0.005097849030171631,-0.0011051864560427394,1972.1318310922468
0,155537,393,394,-0.0011051864560429614,0.013753817160494952,1978.0995242642134
0,155537,406,407,0.03891036193980413,-0.008308807488964565,2043.6090458630958
0,155537,411,412,-0.040183782602312146,0.0033560480537094817,2067.902401669988
0,155537,414,415,0.013799935914442951,-0.03223512090788494,2079.2267778724736
0,155537,420,421,-0.03973305039745123,0.041408118299923635,2108.7182657022568
0,155537,453,454,0.002783265793827927,-0.1473851495221261,2263.700275303474
0,155537,458,459,-0.030952209701165523,0.008372924604765797,2291.184227415505
0,155537,477,478,0.0027907620752615214,-0.02351874115811048,2378.464081607828
0,155537,486,487,-0.007170793139521736,0.03606089429409998,2421.6289923741133
0,155537,496,497,0.002723529326252083,-0.005138744851145183,2470.133615320521
0,155537,507,508,-0.0009449872820573857,0.024023696702989317,2521.0724240530867
0,155537,529,530,0.0050200130209256955,-0.003669825231212065,2628.4622998185077
0,155537,532,533,-0.003669825231211288,0.001386511683746594,2643.461253247646
0,155537,583,584,0.01524784258600198,-0.0018578590273992113,2887.2370500188904
0,155537,591,592,-0.020585336861869252,0.00966434506958469,2924.3479212440607
0,155537,609,610,0.01167645509039894,-0.006069993501245263,3010.0005085834423
0,155537,612,613,-0.0028926486208477042,0.013184281151428667,3022.0162786229494
0,155537,655,656,0.02161239909137036,-0.0011204166267599902,3230.559876859662
0,155537,658,659,-0.0009615589229231558,0.0074283404091357585,3240.8696417970777
0,155537,701,702,0.013585752047398092,-0.01980691113909172,3447.133218946987
0,155537,704,705,-0.01980691113909172,0.003794260506910563,3463.4866390584975
0,155537,722,723,0.016951520948607968,-0.017724956698457306,3547.5772866119387
0,155537,725,726,-0.01772495669845675,0.0012959420147928835,3563.981370977936
0,155537,793,794,0.010689965863279971,-0.004891852843167843,3886.792596843526
0,155537,797,798,-0.004593197804658611,0.006456706644433652,3904.5621915927886
0,155537,924,925,0.0002463746770904329,-0.006257576120686004,4507.846960273743
0,155537,926,927,-0.006257576120686115,0.0018909469237099463,4520.8541822249335
0,155537,945,946,0.001233497069173639,-0.002739911570953657,4609.198930553865
0,155537,969,970,-0.0019610336041094856,0.004312876871351179,4723.555812949606
0,155537,991,992,0.005861627060273045,-0.008788372223836993,4828.790732483152
0,155537,994,995,-0.0035673335944901297,0.021430058605886537,4841.857691079536
1,159310,35,36,0.0019269511422674857,-0.0007892047935500468,277.60227682682824
1,159310,39,40,-0.004934507604638316,0.00562148263607809,296.2595194565975
1,159310,330,331,0.028591705165860737,-0.02632582046501053,1741.2358055093111
1,159310,334,335,-0.006037725128224425,0.04148972917172655,1759.1403421785678
1,159310,338,339,0.020395006578801445,-0.035745550266416126,1780.171819422734
1,159310,342,343,-0.0013272526830647724,0.07065378499680752,1798.3183702730812
1,159310,353,354,0.0265077355178438,-0.05589027497873067,1854.4350908930123
1,159310,359,360,-0.0280619786536479,0.041791357010732444,1884.62026230211
1,159310,377,378,0.022013948247883164,-0.00879238198484944,1975.5371732133015
1,159310,382,383,-0.10022850992394694,0.03921565996905607,2000.3811606249676
1,159310,395,396,0.007907963096004611,-0.013430402056506141,2063.193016156145
1,159310,399,400,-0.001014246386860318,0.006215133783223581,2081.9082301557046
1,159310,402,403,0.003849740256280154,-0.007557975848741405,2097.7810660993605
1,159310,410,411,-0.08000488166021535,0.02932568816604686,2139.4558153452194
1,159310,419,420,0.013922870939764631,-0.056894003411979366,2181.480726287472
1,159310,423,424,-0.013570323002508489,0.01984209386310476,2202.379618163124
1,159310,434,435,0.03034169751967286,-0.019765213691577244,2257.980652942548
1,159310,439,440,-0.023395434676904525,0.027102939699748863,2282.097675918218
1,159310,458,459,0.04626217176636782,-0.01219528141446724,2378.05482804472
1,159310,467,468,-0.051657368050574415,0.000710726933047523,2423.704988487633
1,159310,487,488,0.008578312503988328,-0.020970733011452358,2519.541937962922
1,159310,494,495,-0.0011360240103066577,0.009699862760593425,2553.373682019333
1,159310,515,516,0.027455130846551268,-0.05705661070816903,2658.723636394866
1,159310,522,523,-0.00014528015316739307,0.0014507851095155733,2692.315214899718
1,159310,547,548,0.007954484541714546,-0.019383031894824154,2817.4240709471724
1,159310,552,553,-0.005503512712991876,0.019588777121725687,2841.891627579877
1,159310,572,573,0.021779047050087263,-0.013830464090179073,2943.1320860957044
1,159310,576,577,-0.00022931630864242436,0.012698358767377793,2960.04232373536
1,159310,592,593,0.017318235672120652,-0.009502754073915542,3042.5942714319094
1,159310,595,596,-0.012907853802148539,0.01735495132313336,3056.4001024288486
1,159310,604,605,0.009159551831492863,-0.029806379669600425,3100.131396791506
1,159310,608,609,-0.0011375518032483711,0.043577785876621866,3118.9492672906845
1,159310,620,621,0.022059695283140668,-0.009592694278805158,3181.858775268865
1,159310,624,625,-0.004440642948939533,0.018688543757919174,3199.210499367327
1,159310,640,641,0.03437093679693681,-0.007030592262800783,3281.813252523276
1,159310,647,648,-0.004642468534592603,0.0078124205618275155,3314.2947417234977
1,159310,652,653,0.028612850144860813,-0.010786471012302012,3340.8729023528444
1,159310,656,657,-0.01777471510121953,0.01843658726473807,3359.5629817302524
1,159310,661,662,0.007293548072159539,-0.007438350068555866,3384.4071903634836
1,159310,669,670,-0.017102665705822417,0.0031702973454984518,3425.8547158888214
1,159310,782,783,0.001181373238639205,-0.009736136053847155,3983.208789848596
1,159310,784,785,-0.009736136053848377,0.0016739624212583903,3996.8371538855013
1,159310,813,814,0.006414519927046891,-0.007234665213189717,4138.908798516202
1,159310,817,818,-0.0020267041676920172,0.04707142376833273,4156.639154013133
