remove_lowest_fraction,threshold_abs_A,retained_rows,retained_fraction,pooled_explicit_rmse,pooled_implicit_rmse
0.0,0.0,62000,1.0,187.2273661101626,0.05758467247445343
0.001,3.508796108087031e-05,61938,0.999,13.959199307844163,0.05761164269375249
0.005,0.00023037853298974454,61690,0.995,6.716222343556974,0.057714648832810515
0.01,0.0005078251955232938,61380,0.99,5.229778213291678,0.05783858947851182
0.025,0.001229016907214761,60450,0.975,2.9007773537411423,0.05818756439212872
0.05,0.002550481522556003,58900,0.95,2.3100354533758787,0.058859031984630786
0.1,0.005084428422792398,55800,0.9,1.762495665768113,0.06019961146237187
