shift_multiplier,pooled_implicit_rmse,pooled_explicit_rmse,median_abs_A,min_abs_A,frac_abs_A_lt_1e-2,frac_abs_A_lt_1e-1,n_nonfinite_coords,coverage_coord_finite
0.0,2897.5747960547096,233.5024722834219,44.35760315498395,0.0004278062854119469,0.0001774193548387097,0.0018387096774193548,0,1.0
0.75,0.4717892741658218,2.8575657070927525,0.3097600123622851,0.0027813637861505702,0.0001935483870967742,0.0070967741935483875,0,1.0
0.9,0.1650695034391459,55.54982067943448,0.09140431756981088,1.2033169603409277e-05,0.03775806451612903,0.5791451612903226,0,1.0
0.95,0.09398882264061548,142.84068433367102,0.04225293818945719,1.6294082475498683e-06,0.11541935483870967,0.9133387096774194,0,1.0
0.99,0.05979758852262024,34.62313777391944,0.027299938925206657,9.283569963880467e-07,0.21408064516129033,0.9365161290322581,0,1.0
1.0,0.05758467247445344,187.2273661101626,0.029684634521966957,2.6428213717455407e-07,0.1934032258064516,0.9256451612903226,0,1.0
1.01,0.05853535084865369,33.63286541671442,0.03437853127906271,4.368555986844491e-06,0.14793548387096775,0.9118870967741936,0,1.0
1.05,0.08444048434333568,66.11922727086203,0.06554987397848205,1.714572400879355e-05,0.037596774193548385,0.7987096774193548,0,1.0
1.1,0.1330898179955697,38.53825038533333,0.10742518839022586,1.848131897097538e-05,0.005661290322580645,0.40424193548387094,0,1.0
1.25,0.27147527712480357,3.062150226059569,0.21449805263779126,0.003451842269360572,8.064516129032258e-05,0.003,0,1.0
