shot,realization_index,dt_seconds,feature_or_residual,integrated_autocorrelation_samples,correlation_time_seconds
155537,0,0.004764446942059294,d[pcdiamag3]/d[kappa],8.117633404147625,0.03867603364914953
155537,0,0.004764446942059294,d[kappa]/d[t],9.503498007746668,0.0452789120218752
155537,0,0.004764446942059294,r[q95]/r[kappa],57.575741903083916,0.2743165674469433
155537,0,0.004764446942059294,d[pcdiamag3]/d[betan],7.699667063565056,0.03668465519587719
155537,0,0.004764446942059294,d[kappa]/d[betan],7.832318125270137,0.03731666414117889
155537,0,0.004764446942059294,d[betan]/d[t],12.544652708784692,0.059768332237565065
155537,0,0.004764446942059294,d[li]/d[betan],8.16834297426989,0.038917636705451696
155537,0,0.004764446942059294,residual,3.3259756945746064,0.015846434727379517
155537,0,0.004764446942059294,target,10.856542411272468,0.05172542029272414
159310,1,0.004964647142259309,d[pcdiamag3]/d[kappa],7.5858531225692944,0.03766108402656251
159310,1,0.004964647142259309,d[kappa]/d[t],14.865399649485507,0.07380146388836076
159310,1,0.004964647142259309,r[q95]/r[kappa],34.8807270030898,0.1731705016358169
159310,1,0.004964647142259309,d[pcdiamag3]/d[betan],2.1569922770250307,0.01070870554400772
159310,1,0.004964647142259309,d[kappa]/d[betan],7.781272484369986,0.038631272202668446
159310,1,0.004964647142259309,d[betan]/d[t],6.13048530856395,0.030435696367824693
159310,1,0.004964647142259309,d[li]/d[betan],4.068004102741842,0.02019620494337643
159310,1,0.004964647142259309,residual,1.6315386159822545,0.008100013527322009
159310,1,0.004964647142259309,target,5.041468710886689,0.025029113228293324
160715,2,0.00478446696207925,d[pcdiamag3]/d[kappa],6.599612541440557,0.03157562816704622
160715,2,0.00478446696207925,d[kappa]/d[t],9.222754723149388,0.04412596527226861
160715,2,0.00478446696207925,r[q95]/r[kappa],63.436413547131515,0.3035094248090473
160715,2,0.00478446696207925,d[pcdiamag3]/d[betan],7.97840413497666,0.03817241099391231
160715,2,0.00478446696207925,d[kappa]/d[betan],8.65958321372485,0.0414314897914426
160715,2,0.00478446696207925,d[betan]/d[t],9.7750060057111,0.04676819328845101
160715,2,0.00478446696207925,d[li]/d[betan],6.327926299049989,0.03027575431627709
160715,2,0.00478446696207925,residual,7.57841087870917,0.036258656474246004
