realization_index,shot,feature,block_setting,sd_primary,sd_sensitivity,sd_ratio_sens_over_primary
0,155537,d[pcdiamag3]/d[kappa],short,0.2849590762522121,0.2529111138671347,0.8875348600698255
0,155537,d[pcdiamag3]/d[kappa],long,0.2849590762522121,0.2956094969506895,1.0373752639801859
0,155537,d[kappa]/d[t],short,0.13302515675453883,0.11668687490157895,0.8771790069519817
0,155537,d[kappa]/d[t],long,0.13302515675453883,0.1297547652736529,0.9754152405403926
0,155537,r[q95]/r[kappa],short,0.02276953937421061,0.020913736170634235,0.9184962342418211
0,155537,r[q95]/r[kappa],long,0.02276953937421061,0.022913597014840387,1.0063267700879333
0,155537,d[pcdiamag3]/d[betan],short,0.42035720505264934,0.3732656402309532,0.8879725046801592
0,155537,d[pcdiamag3]/d[betan],long,0.42035720505264934,0.43832089983902467,1.0427343568052423
0,155537,d[kappa]/d[betan],short,0.5372212629103887,0.4799974007877778,0.8934817624071647
0,155537,d[kappa]/d[betan],long,0.5372212629103887,0.5378261185799318,1.0011258967418104
0,155537,d[betan]/d[t],short,0.14739593642417964,0.12772805240189725,0.8665642723983751
0,155537,d[betan]/d[t],long,0.14739593642417964,0.1487031376135987,1.0088686379090952
0,155537,d[li]/d[betan],short,0.008544956127793692,0.007703100068867496,0.9014791830014388
0,155537,d[li]/d[betan],long,0.008544956127793692,0.008536747882435403,0.9990394046222674
1,159310,d[pcdiamag3]/d[kappa],short,0.24012876679014739,0.18413504134744554,0.7668179194388798
1,159310,d[pcdiamag3]/d[kappa],long,0.24012876679014739,0.25409520741667646,1.0581622968927065
1,159310,d[kappa]/d[t],short,0.17016494334054152,0.13483866194107802,0.7923997698587787
1,159310,d[kappa]/d[t],long,0.17016494334054152,0.18232408179341536,1.0714550142595431
1,159310,r[q95]/r[kappa],short,0.01606892694044256,0.013273619514325218,0.8260426824716659
1,159310,r[q95]/r[kappa],long,0.01606892694044256,0.01447171149473535,0.9006022336383762
1,159310,d[pcdiamag3]/d[betan],short,0.11018847530878559,0.08495967938997408,0.771039613279768
1,159310,d[pcdiamag3]/d[betan],long,0.11018847530878559,0.11599337680648367,1.0526815665742695
1,159310,d[kappa]/d[betan],short,0.11362915836851623,0.10335479974650062,0.9095799109178012
1,159310,d[kappa]/d[betan],long,0.11362915836851623,0.1261099257082956,1.1098377169995512
1,159310,d[betan]/d[t],short,0.17018970430695632,0.1347137355333434,0.7915504412086597
1,159310,d[betan]/d[t],long,0.17018970430695632,0.18243442841258048,1.071947502085898
1,159310,d[li]/d[betan],short,0.0048000224932166526,0.004832573524578671,1.0067814330884932
1,159310,d[li]/d[betan],long,0.0048000224932166526,0.005025185693880213,1.0469087803194073
2,160715,d[pcdiamag3]/d[kappa],short,0.2009798262244397,0.17624179970511686,0.8769128873079128
2,160715,d[pcdiamag3]/d[kappa],long,0.2009798262244397,0.19952877702633262,0.9927801251231672
2,160715,d[kappa]/d[t],short,0.07529044932531856,0.07706283133090878,1.0235405954071413
2,160715,d[kappa]/d[t],long,0.07529044932531856,0.06702692812337493,0.8902447617726507
2,160715,r[q95]/r[kappa],short,0.04947813459645334,0.032619455210417606,0.6592701094425487
2,160715,r[q95]/r[kappa],long,0.04947813459645334,0.06701189345769076,1.3543738866520023
2,160715,d[pcdiamag3]/d[betan],short,0.29132070655745423,0.2579243886174977,0.8853623611771277
2,160715,d[pcdiamag3]/d[betan],long,0.29132070655745423,0.2912595874976025,0.9997902000836982
2,160715,d[kappa]/d[betan],short,0.3273098444150483,0.30068693086709747,0.9186614334942144
2,160715,d[kappa]/d[betan],long,0.3273098444150483,0.3223879541426437,0.9849625962787593
2,160715,d[betan]/d[t],short,0.06923870375076077,0.06557685644647135,0.9471127114471705
2,160715,d[betan]/d[t],long,0.06923870375076077,0.07092445948582937,1.0243470146572329
2,160715,d[li]/d[betan],short,0.016302281214828445,0.014919787850551617,0.9151963246088385
2,160715,d[li]/d[betan],long,0.016302281214828445,0.016456203579523956,1.0094417684657835
3,160717,d[pcdiamag3]/d[kappa],short,0.20551468096705738,0.19994408670320327,0.9728944217627546
3,160717,d[pcdiamag3]/d[kappa],long,0.20551468096705738,0.24106922502731515,1.1730024536103858
3,160717,d[kappa]/d[t],short,0.0936847292088512,0.0891464340887712,0.9515577921993696
3,160717,d[kappa]/d[t],long,0.0936847292088512,0.08741783042171067,0.9331065068975044
3,160717,r[q95]/r[kappa],short,0.029078917963116686,0.01803135828354749,0.6200835363412629
3,160717,r[q95]/r[kappa],long,0.029078917963116686,0.048709384252208436,1.675075541462344
3,160717,d[pcdiamag3]/d[betan],short,0.30372618634166426,0.29314044938766964,0.9651471047607084
3,160717,d[pcdiamag3]/d[betan],long,0.30372618634166426,0.35748594691335356,1.1770007427387683
3,160717,d[kappa]/d[betan],short,0.35076518018460084,0.34808815016525446,0.992368028041043
3,160717,d[kappa]/d[betan],long,0.35076518018460084,0.3955247172039853,1.1276054168085534
3,160717,d[betan]/d[t],short,0.11762272800362712,0.11676800245667039,0.9927333300165307
3,160717,d[betan]/d[t],long,0.11762272800362712,0.11660763108791831,0.9913698914067144
3,160717,d[li]/d[betan],short,0.02243357344043032,0.021149004503403925,0.9427389960659475
3,160717,d[li]/d[betan],long,0.02243357344043032,0.023271291820472086,1.03734217298306
4,160719,d[pcdiamag3]/d[kappa],short,0.12677630179078445,0.09851690649701157,0.777092446343723
4,160719,d[pcdiamag3]/d[kappa],long,0.12677630179078445,0.10406397630020343,0.8208472311484257
4,160719,d[kappa]/d[t],short,0.11594774151374859,0.1074611523723439,0.9268067749262773
