realization_index,shot,tolerance,retained_rank,relative_coefficient_change,max_abs_termwise_change,rmse_truncated,abs_rmse_change,relative_prediction_change,prediction_correlation,classification
7,161136,1e-06,7,2.0186528462533636e-15,3.3306690738754696e-15,0.0635302046033072,1.3877787807814457e-17,2.81882054256262e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-12,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-10,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-08,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
8,161138,1e-06,7,1.8259877215552167e-15,2.886579864025407e-15,0.04474086013253889,2.0816681711721685e-17,1.977733900031608e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-12,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-10,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-08,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
9,161145,1e-06,7,2.0485416589652587e-15,3.3861802251067274e-15,0.04866207363689367,2.0816681711721685e-17,1.4403842596559294e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-12,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-10,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-08,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
10,161414,1e-06,7,2.5431753202105317e-15,1.5543122344752192e-15,0.02654490415499677,1.0408340855860843e-17,2.449520073541776e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
11,165017,1e-12,7,4.391193032719552e-15,3.219646771412954e-15,0.04931204876519167,1.3877787807814457e-17,6.393887637741211e-15,0.9999999999999996,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
11,165017,1e-10,7,4.391193032719552e-15,3.219646771412954e-15,0.04931204876519167,1.3877787807814457e-17,6.393887637741211e-15,0.9999999999999996,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
11,165017,1e-08,7,4.391193032719552e-15,3.219646771412954e-15,0.04931204876519167,1.3877787807814457e-17,6.393887637741211e-15,0.9999999999999996,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
11,165017,1e-06,7,4.391193032719552e-15,3.219646771412954e-15,0.04931204876519167,1.3877787807814457e-17,6.393887637741211e-15,0.9999999999999996,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
12,165022,1e-12,7,3.9390261935710285e-15,2.248201624865942e-15,0.0895375734133368,4.163336342344337e-17,3.1308810490200205e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
12,165022,1e-10,7,3.9390261935710285e-15,2.248201624865942e-15,0.0895375734133368,4.163336342344337e-17,3.1308810490200205e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
12,165022,1e-08,7,3.9390261935710285e-15,2.248201624865942e-15,0.0895375734133368,4.163336342344337e-17,3.1308810490200205e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
12,165022,1e-06,7,3.9390261935710285e-15,2.248201624865942e-15,0.0895375734133368,4.163336342344337e-17,3.1308810490200205e-15,0.9999999999999999,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
13,165026,1e-12,7,3.714289790053499e-15,2.192690473634684e-15,0.059817782432270004,2.7755575615628914e-17,2.8029911310801013e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
13,165026,1e-10,7,3.714289790053499e-15,2.192690473634684e-15,0.059817782432270004,2.7755575615628914e-17,2.8029911310801013e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
13,165026,1e-08,7,3.714289790053499e-15,2.192690473634684e-15,0.059817782432270004,2.7755575615628914e-17,2.8029911310801013e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
13,165026,1e-06,7,3.714289790053499e-15,2.192690473634684e-15,0.059817782432270004,2.7755575615628914e-17,2.8029911310801013e-15,1.0,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
14,165027,1e-12,7,2.8359146055108134e-15,3.219646771412954e-15,0.06976534194906724,1.3877787807814457e-17,3.3361326241543237e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
14,165027,1e-10,7,2.8359146055108134e-15,3.219646771412954e-15,0.06976534194906724,1.3877787807814457e-17,3.3361326241543237e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
14,165027,1e-08,7,2.8359146055108134e-15,3.219646771412954e-15,0.06976534194906724,1.3877787807814457e-17,3.3361326241543237e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
14,165027,1e-06,7,2.8359146055108134e-15,3.219646771412954e-15,0.06976534194906724,1.3877787807814457e-17,3.3361326241543237e-15,0.9999999999999998,STABLE_COEFFICIENTS_STABLE_RECONSTRUCTION
