shot,realization_index,dt_seconds,feature_or_residual,integrated_autocorrelation_samples,correlation_time_seconds,primary_block_samples,primary_block_seconds,short_block_samples,long_block_samples,selection_status
187024,34,0.006025708203320391,MAX_OVER_FEATURES_AND_RESIDUAL,27.1720008707382,0.163730548547436,27,0.16269412148965057,14,54,DATA_DRIVEN_IAC_MAX
189646,35,0.004964647142259309,MAX_OVER_FEATURES_AND_RESIDUAL,35.81280632822815,0.177797946593724,36,0.17872729712133514,18,72,DATA_DRIVEN_IAC_MAX
189647,36,0.004944627122239467,MAX_OVER_FEATURES_AND_RESIDUAL,36.467146293171076,0.18031644063188815,36,0.17800657640062081,18,72,DATA_DRIVEN_IAC_MAX
189649,37,0.004964647142259309,MAX_OVER_FEATURES_AND_RESIDUAL,38.74260369941972,0.19234335674000905,39,0.19362123854811306,20,78,DATA_DRIVEN_IAC_MAX
189650,38,0.004964647142259309,MAX_OVER_FEATURES_AND_RESIDUAL,63.26332408950916,0.31408008115080616,63,0.3127727699623365,32,126,DATA_DRIVEN_IAC_MAX
189651,39,0.004964647142259309,MAX_OVER_FEATURES_AND_RESIDUAL,52.47561969095446,0.2605229353369834,52,0.2581616513974841,26,104,DATA_DRIVEN_IAC_MAX
189652,40,0.00478446696207925,MAX_OVER_FEATURES_AND_RESIDUAL,54.30622756457194,0.25982635161785195,54,0.2583612159522795,27,108,DATA_DRIVEN_IAC_MAX
195261,41,0.005865548043160288,MAX_OVER_FEATURES_AND_RESIDUAL,20.82130743136888,0.12212837906010449,21,0.12317650890636604,10,42,DATA_DRIVEN_IAC_MAX
195264,42,0.0058455280231403325,MAX_OVER_FEATURES_AND_RESIDUAL,26.213138501134225,0.15322963568283887,26,0.15198372860164866,13,52,DATA_DRIVEN_IAC_MAX
195265,43,0.005865548043160288,MAX_OVER_FEATURES_AND_RESIDUAL,18.334425138816087,0.10754145149545148,18,0.10557986477688518,9,36,DATA_DRIVEN_IAC_MAX
195266,44,0.005865548043160288,MAX_OVER_FEATURES_AND_RESIDUAL,15.04757905984857,0.0882622979087945,15,0.08798322064740431,8,30,DATA_DRIVEN_IAC_MAX
195267,45,0.005945628123240568,MAX_OVER_FEATURES_AND_RESIDUAL,13.084995790583342,0.07779851896497676,13,0.07729316560212737,6,26,DATA_DRIVEN_IAC_MAX
195268,46,0.005945628123240568,MAX_OVER_FEATURES_AND_RESIDUAL,17.209495269545872,0.10232125906138745,17,0.10107567809508965,8,34,DATA_DRIVEN_IAC_MAX
195269,47,0.005865548043160288,MAX_OVER_FEATURES_AND_RESIDUAL,26.020054853786228,0.15262188183054914,26,0.15250424912216748,13,52,DATA_DRIVEN_IAC_MAX
195273,48,0.005945628123240568,MAX_OVER_FEATURES_AND_RESIDUAL,26.269924698939715,0.15619120308542797,26,0.15458633120425475,13,52,DATA_DRIVEN_IAC_MAX
195274,49,0.005865548043160288,MAX_OVER_FEATURES_AND_RESIDUAL,19.257581218116652,0.11295626782992443,19,0.11144541282004547,10,38,DATA_DRIVEN_IAC_MAX
195626,50,0.005325007502619883,MAX_OVER_FEATURES_AND_RESIDUAL,64.41510142479696,0.3430108983690645,64,0.3408004801676725,32,128,DATA_DRIVEN_IAC_MAX
195638,51,0.005064747242359544,MAX_OVER_FEATURES_AND_RESIDUAL,79.86139373182318,0.40447777367424126,80,0.40517977938876354,40,160,DATA_DRIVEN_IAC_MAX
