feature,feature_order,mu_r,observed_between_variance,mean_within_variance,heterogeneity_ratio,resolved_fraction,tau2_REML,tau_REML,tau2_interval_low,tau2_interval_high,tau2_bootstrap_q025,tau2_bootstrap_q975,fraction_total_variance_between,number_of_discharges,status
d[pcdiamag3]/d[kappa],source_matrix_order,0.24521793692617108,0.013375865355175187,0.07263358152194953,0.1841553875617859,0.0,0.0,0.0,0.0,0.00544139564363798,0.0,1.0977237160503522e-16,0.0,62,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES
d[kappa]/d[t],source_matrix_order,0.8970050287912411,0.20861470003072188,0.020635697656142295,10.109408632890437,0.9010822456274493,0.16966895506568255,0.4119089159822625,0.12572882110695255,0.25302247962503216,0.12986015834075748,0.21320912981655038,0.8915649335893735,62,BETWEEN_DISCHARGE_VARIATION_RESOLVED
r[q95]/r[kappa],source_matrix_order,-0.01025447253102932,0.0002193228294484748,0.000491424488524381,0.44630016323981697,0.0,2.0717299594890256e-05,0.004551626038559215,0.0,7.782713091968073e-05,0.0,5.8742636198365014e-05,0.04045227332643565,62,WITHIN_DISCHARGE_UNCERTAINTY_DOMINATES
d[pcdiamag3]/d[betan],source_matrix_order,0.9250570490871793,0.1297280705536616,0.1085156666707682,1.1954778008898097,0.16351437119477505,0.06819464075791758,0.26114103614314926,0.03417003881624088,0.12330563075864348,0.035270558777955464,0.09243985713711661,0.3859120712889858,62,BETWEEN_DISCHARGE_VARIATION_PARTIALLY_RESOLVED
d[kappa]/d[betan],source_matrix_order,-0.897881167318979,0.38177917483500406,0.14479804095761623,2.6366321830745933,0.6207282887543708,0.2608841546813202,0.5107682005384833,0.1738840425794299,0.3914133876470986,0.18704648045784705,0.3113670239947665,0.6430751891155491,62,BETWEEN_DISCHARGE_VARIATION_RESOLVED
d[betan]/d[t],source_matrix_order,0.04981701254210351,0.23897695362992727,0.0209989544188434,11.380421561155513,0.9121297928529052,0.21137396542710565,0.45975424459933556,0.1415478191500167,0.28553722156817246,0.1574216076736703,0.2412640838994892,0.9096325233045031,62,BETWEEN_DISCHARGE_VARIATION_RESOLVED
d[li]/d[betan],source_matrix_order,-0.005941864449774143,0.000906535602464401,0.00024165666718202944,3.7513370230399947,0.7334283766405973,7.547889779128287e-05,0.008687859217970953,3.185156216981969e-05,0.00015051556023275693,2.5256664940367264e-05,0.00013779247905067012,0.2380019970249461,62,BETWEEN_DISCHARGE_VARIATION_RESOLVED
