feature_1,feature_2,median_correlation,median_abs_correlation,q05,q25,q75,q95,max_abs_correlation,frac_abs_gt_0.8,frac_abs_gt_0.9,frac_abs_gt_0.95
d[betan]/d[t],d[li]/d[betan],-0.7907305157026905,0.7907305157026905,-0.8530537555475062,-0.8170277964226431,-0.7632917134976059,-0.7016076837227,0.8652167818476525,0.41935483870967744,0.0,0.0
d[kappa]/d[betan],d[betan]/d[t],-0.7454009673269626,0.7454009673269626,-0.802832356658604,-0.7678693672061438,-0.7185283345947105,-0.684326964233649,0.8439697175233147,0.06451612903225806,0.0,0.0
d[kappa]/d[betan],d[li]/d[betan],0.7743350015595857,0.7743350015595857,0.5900796582299689,0.7091460155627586,0.7981448215909552,0.8403822435915971,0.8937813348300878,0.20967741935483872,0.0,0.0
d[kappa]/d[t],d[betan]/d[t],-0.1041141668597375,0.1041141668597375,-0.2753575955310204,-0.17395086197692988,-0.027863925636718363,0.03626014737029524,0.40471714277176585,0.0,0.0,0.0
d[kappa]/d[t],d[kappa]/d[betan],0.7366032152076123,0.7366032152076123,0.6702128411389849,0.7107914304875131,0.7654198588588313,0.7894284289528163,0.828985863587004,0.03225806451612903,0.0,0.0
d[kappa]/d[t],d[li]/d[betan],0.3196145121615121,0.3196145121615121,0.0641465880166543,0.23034740529568107,0.4154061493817107,0.5167778605473283,0.52289495460657,0.0,0.0,0.0
d[kappa]/d[t],d[pcdiamag3]/d[betan],0.08409514022152137,0.09016987714238678,-0.05239152553998309,0.02204187312645231,0.13356422058098283,0.1780337516870992,0.208305122324886,0.0,0.0,0.0
d[kappa]/d[t],r[q95]/r[kappa],0.46255388691781485,0.46255388691781485,0.2872223930872831,0.3985505677935465,0.602650082976921,0.7135455310069998,0.7694789499143343,0.0,0.0,0.0
d[pcdiamag3]/d[betan],d[betan]/d[t],-0.8279876029625334,0.8279876029625334,-0.9292275531846665,-0.9116375280264688,-0.4052627374312808,-0.310520825282551,0.9519714673201086,0.5483870967741935,0.3064516129032258,0.016129032258064516
d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.6048838990539944,0.6048838990539944,0.22990956868266024,0.30096172594925896,0.6896150783213777,0.7230606936877689,0.7434642233794609,0.0,0.0,0.0
d[pcdiamag3]/d[betan],d[li]/d[betan],0.6072324359256804,0.6072324359256804,0.29988041489646905,0.464608143183628,0.7057773603203017,0.7628977688285096,0.8117400228927498,0.016129032258064516,0.0,0.0
d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.3005359477406332,0.48162153369607463,-0.5148529163774179,-0.4458701758860457,0.5756997094744649,0.6858031748681821,0.8214249048344797,0.016129032258064516,0.0,0.0
d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.205010457059031,0.205010457059031,-0.9042563101495374,-0.8238195463896831,-0.09876161620035509,-0.024022018920476344,0.9416798138811497,0.3064516129032258,0.06451612903225806,0.0
d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6122631499527988,0.6122631499527988,-0.7046751464081324,-0.6418750063986165,-0.5884866360563664,-0.5725811258100574,0.7675160331036286,0.0,0.0,0.0
d[pcdiamag3]/d[kappa],d[li]/d[betan],0.07919467364683683,0.24661045846169743,-0.6694038425193648,-0.573490972527254,0.1847184839784547,0.2888877736666165,0.7075190970827064,0.0,0.0,0.0
d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.5873152066267491,0.5873152066267491,0.14349875447532978,0.27997005446060685,0.6563264087066301,0.6880477319330123,0.7149001448081445,0.0,0.0,0.0
d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.23954691233521902,0.23954691233521902,-0.43487177409351285,-0.3127789995266596,-0.2015639239273437,-0.09827299859061277,0.4663199180425441,0.0,0.0,0.0
r[q95]/r[kappa],d[betan]/d[t],-0.007636682396978274,0.03470012733854254,-0.09685592318851609,-0.03747821769305073,0.03135499493897274,0.07808584652324935,0.24222687092164566,0.0,0.0,0.0
r[q95]/r[kappa],d[kappa]/d[betan],0.2953215033922718,0.2953215033922718,0.17416470535235373,0.2530759611167184,0.4118147947381917,0.533721975948525,0.5578222596318363,0.0,0.0,0.0
r[q95]/r[kappa],d[li]/d[betan],0.20328494900907762,0.20841120135183394,-0.02497220513551155,0.11435347200424094,0.2531208433860033,0.3524654885353282,0.44115075274178484,0.0,0.0,0.0
r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.0005450699504959181,0.058856127820561405,-0.18547727873562275,-0.06742286653901366,0.04149127829871891,0.10161055325986011,0.2530122486815571,0.0,0.0,0.0
