eigen_index,eigenvalue_raw,eigenvalue_psd,feature,display_name,loading_source_order,resolved_flag
6,0.777009926843375,0.777009926843375,d[pcdiamag3]/d[kappa],D_kappa W_dia,-0.1422070083245909,True
6,0.777009926843375,0.777009926843375,d[kappa]/d[t],dot kappa,-0.5077578568098804,True
6,0.777009926843375,0.777009926843375,r[q95]/r[kappa],q95 / kappa,-0.00851651678241475,True
6,0.777009926843375,0.777009926843375,d[pcdiamag3]/d[betan],D_betaN W_dia,-0.29741362364405566,True
6,0.777009926843375,0.777009926843375,d[kappa]/d[betan],D_betaN kappa,0.5801796370704912,True
6,0.777009926843375,0.777009926843375,d[betan]/d[t],dot beta_N,0.5445842703404651,True
6,0.777009926843375,0.777009926843375,d[li]/d[betan],D_betaN l_i,0.015852200809675664,True
5,0.002894813602865529,0.002894813602865529,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.3739234117037958,True
5,0.002894813602865529,0.002894813602865529,d[kappa]/d[t],dot kappa,-0.28677115314382706,True
5,0.002894813602865529,0.002894813602865529,r[q95]/r[kappa],q95 / kappa,-0.008316791516187586,True
5,0.002894813602865529,0.002894813602865529,d[pcdiamag3]/d[betan],D_betaN W_dia,0.6985704177999104,True
5,0.002894813602865529,0.002894813602865529,d[kappa]/d[betan],D_betaN kappa,0.38657580378955014,True
5,0.002894813602865529,0.002894813602865529,d[betan]/d[t],dot beta_N,-0.19081139992314639,True
5,0.002894813602865529,0.002894813602865529,d[li]/d[betan],D_betaN l_i,-0.3225274373474608,True
4,0.0008894032184988716,0.0008894032184988716,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.6168629564922741,True
4,0.0008894032184988716,0.0008894032184988716,d[kappa]/d[t],dot kappa,-0.24484339429794202,True
4,0.0008894032184988716,0.0008894032184988716,r[q95]/r[kappa],q95 / kappa,-0.09376957943904406,True
4,0.0008894032184988716,0.0008894032184988716,d[pcdiamag3]/d[betan],D_betaN W_dia,0.1124348060956647,True
4,0.0008894032184988716,0.0008894032184988716,d[kappa]/d[betan],D_betaN kappa,-0.4213119017438124,True
4,0.0008894032184988716,0.0008894032184988716,d[betan]/d[t],dot beta_N,0.4293619686142662,True
4,0.0008894032184988716,0.0008894032184988716,d[li]/d[betan],D_betaN l_i,0.4198119422825207,True
3,0.00014906717138559567,0.00014906717138559567,d[pcdiamag3]/d[kappa],D_kappa W_dia,-0.0665518759049151,True
3,0.00014906717138559567,0.00014906717138559567,d[kappa]/d[t],dot kappa,0.6015195187893377,True
3,0.00014906717138559567,0.00014906717138559567,r[q95]/r[kappa],q95 / kappa,-0.47434451210296474,True
3,0.00014906717138559567,0.00014906717138559567,d[pcdiamag3]/d[betan],D_betaN W_dia,0.30337727950707,True
3,0.00014906717138559567,0.00014906717138559567,d[kappa]/d[betan],D_betaN kappa,0.35818452575384285,True
3,0.00014906717138559567,0.00014906717138559567,d[betan]/d[t],dot beta_N,0.31132894845629966,True
3,0.00014906717138559567,0.00014906717138559567,d[li]/d[betan],D_betaN l_i,0.3024611674401518,True
2,5.096974783613021e-05,5.096974783613021e-05,d[pcdiamag3]/d[kappa],D_kappa W_dia,-0.15045149302667474,True
2,5.096974783613021e-05,5.096974783613021e-05,d[kappa]/d[t],dot kappa,-0.2912102381262528,True
2,5.096974783613021e-05,5.096974783613021e-05,r[q95]/r[kappa],q95 / kappa,-0.008513442856708638,True
2,5.096974783613021e-05,5.096974783613021e-05,d[pcdiamag3]/d[betan],D_betaN W_dia,0.06056732008041055,True
2,5.096974783613021e-05,5.096974783613021e-05,d[kappa]/d[betan],D_betaN kappa,0.2021278658038266,True
2,5.096974783613021e-05,5.096974783613021e-05,d[betan]/d[t],dot beta_N,-0.5154128105412189,True
2,5.096974783613021e-05,5.096974783613021e-05,d[li]/d[betan],D_betaN l_i,0.763095031487619,True
1,-0.0004340684057647297,0.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.019726824756426672,False
1,-0.0004340684057647297,0.0,d[kappa]/d[t],dot kappa,0.2848200174621656,False
1,-0.0004340684057647297,0.0,r[q95]/r[kappa],q95 / kappa,0.8750861154551631,False
1,-0.0004340684057647297,0.0,d[pcdiamag3]/d[betan],D_betaN W_dia,0.18967599807732907,False
1,-0.0004340684057647297,0.0,d[kappa]/d[betan],D_betaN kappa,0.15395246543630386,False
1,-0.0004340684057647297,0.0,d[betan]/d[t],dot beta_N,0.21775127872943456,False
1,-0.0004340684057647297,0.0,d[li]/d[betan],D_betaN l_i,0.2135854286383405,False
0,-0.1752745117228193,0.0,d[pcdiamag3]/d[kappa],D_kappa W_dia,0.6572553463573992,False
0,-0.1752745117228193,0.0,d[kappa]/d[t],dot kappa,0.2687831844066995,False
0,-0.1752745117228193,0.0,r[q95]/r[kappa],q95 / kappa,0.014651333001327746,False
0,-0.1752745117228193,0.0,d[pcdiamag3]/d[betan],D_betaN W_dia,-0.5284124941695988,False
0,-0.1752745117228193,0.0,d[kappa]/d[betan],D_betaN kappa,0.37893776252096734,False
0,-0.1752745117228193,0.0,d[betan]/d[t],dot beta_N,-0.2695840931130518,False
0,-0.1752745117228193,0.0,d[li]/d[betan],D_betaN l_i,-0.0081959006566582,False
