x,y,spearman_r,spearman_p,pearson_r,pearson_p,level,feature,bh_reject,bh_adjusted_p
normalized_sigma_7,interval_width,-0.296064062854121,0.019469688877960387,-0.26532590511608445,0.03714415383260802,per_coefficient,d[pcdiamag3]/d[betan],False,0.07444292806278972
log10_condition_number,sign_instability,0.1058505036964721,0.4128949699828316,0.08711065322486423,0.5007993817620998,per_coefficient,d[pcdiamag3]/d[betan],False,0.5834385445409577
normalized_sigma_7,sign_instability,-0.1058505036964721,0.4128949699828316,-0.06979982173235506,0.5898333387265063,per_coefficient,d[pcdiamag3]/d[betan],False,0.5834385445409577
log10_condition_number,abs_coefficient,0.39684218478507216,0.0014062055555783,0.36646192500805463,0.0033956140564310178,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
normalized_sigma_7,abs_coefficient,-0.39684218478507216,0.0014062055555783,-0.3946150188015415,0.0015043745376437934,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
log10_condition_number,bootstrap_sd,0.3860139507944902,0.001943852515688829,0.37009674314339785,0.0030689438586679945,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
normalized_sigma_7,bootstrap_sd,-0.3860139507944902,0.001943852515688829,-0.37691315345875676,0.0025307881887504853,per_coefficient,d[kappa]/d[betan],True,0.014038934835530432
log10_condition_number,interval_width,0.36168819722495027,0.003871334522787564,0.3473234895706747,0.005677547435588319,per_coefficient,d[kappa]/d[betan],True,0.022876067634653784
normalized_sigma_7,interval_width,-0.36168819722495027,0.003871334522787564,-0.3647321489093095,0.0035616373716187187,per_coefficient,d[kappa]/d[betan],True,0.022876067634653784
log10_condition_number,sign_instability,-0.0897255435463954,0.4879817537493931,0.061017724743950036,0.6375581036256401,per_coefficient,d[kappa]/d[betan],False,0.6343762798742111
normalized_sigma_7,sign_instability,0.0897255435463954,0.4879817537493931,-0.05256357801094415,0.6849309081116788,per_coefficient,d[kappa]/d[betan],False,0.6343762798742111
log10_condition_number,abs_coefficient,-0.07960011080053386,0.5385589882591828,-0.03713479275998657,0.7744585415003518,per_coefficient,d[betan]/d[t],False,0.6604968723933374
normalized_sigma_7,abs_coefficient,0.07960011080053386,0.5385589882591828,0.06343823128242289,0.6242461172321951,per_coefficient,d[betan]/d[t],False,0.6604968723933374
log10_condition_number,bootstrap_sd,-0.05869910100475939,0.6504176105832201,-0.04455508879731916,0.7309528733376673,per_coefficient,d[betan]/d[t],False,0.7417042927703387
normalized_sigma_7,bootstrap_sd,0.05869910100475939,0.6504176105832201,0.07905429328247093,0.5413563464147548,per_coefficient,d[betan]/d[t],False,0.7417042927703387
log10_condition_number,interval_width,-0.18088187152174462,0.15945247167571594,-0.2020336063439978,0.11531963152558503,per_coefficient,d[betan]/d[t],False,0.28011920699787934
normalized_sigma_7,interval_width,0.18088187152174462,0.15945247167571594,0.2221951164724183,0.08261145231632597,per_coefficient,d[betan]/d[t],False,0.28011920699787934
log10_condition_number,sign_instability,0.21497345662829764,0.09335978130446947,-0.006753827839413799,0.9584506024970181,per_coefficient,d[betan]/d[t],False,0.19512621851190587
normalized_sigma_7,sign_instability,-0.21497345662829764,0.09335978130446947,0.0010524415334007275,0.9935226175725385,per_coefficient,d[betan]/d[t],False,0.19512621851190587
log10_condition_number,abs_coefficient,-0.21140238221147792,0.09906408016758297,-0.18523683940379435,0.14947720170729067,per_coefficient,d[li]/d[betan],False,0.19512621851190587
normalized_sigma_7,abs_coefficient,0.21140238221147792,0.09906408016758297,0.15561538661804913,0.22714181101451753,per_coefficient,d[li]/d[betan],False,0.19512621851190587
log10_condition_number,bootstrap_sd,-0.2578882425524414,0.04300518935929417,-0.2206891321524979,0.0847681112313165,per_coefficient,d[li]/d[betan],False,0.12153640471104873
normalized_sigma_7,bootstrap_sd,0.2578882425524414,0.04300518935929417,0.20433699914820472,0.11114528797676851,per_coefficient,d[li]/d[betan],False,0.12153640471104873
log10_condition_number,interval_width,-0.27899070786431973,0.028101209370919998,-0.24173407697762633,0.058376867585748754,per_coefficient,d[li]/d[betan],False,0.08697993376713334
normalized_sigma_7,interval_width,0.27899070786431973,0.028101209370919998,0.22207250498858414,0.08278540188514275,per_coefficient,d[li]/d[betan],False,0.08697993376713334
log10_condition_number,sign_instability,-0.01820860576084828,0.8882898518070014,-0.0907019887482968,0.48324006329148506,per_coefficient,d[li]/d[betan],False,0.9164895296421443
normalized_sigma_7,sign_instability,0.01820860576084828,0.8882898518070014,0.11544812837389684,0.37157215113432807,per_coefficient,d[li]/d[betan],False,0.9164895296421443
