shot,realization_index,feature_1,feature_2,covariance,correlation
159310,1,r[q95]/r[kappa],d[pcdiamag3]/d[kappa],0.0005787512949529306,0.14998951785545522
159310,1,r[q95]/r[kappa],d[kappa]/d[t],0.0006968357480737727,0.25484343631779066
159310,1,r[q95]/r[kappa],r[q95]/r[kappa],0.00025821041301728057,0.9999999999961271
159310,1,r[q95]/r[kappa],d[pcdiamag3]/d[betan],-0.00021903103112395287,-0.12370367383108645
159310,1,r[q95]/r[kappa],d[kappa]/d[betan],-0.000423776707063211,-0.23209213086712227
159310,1,r[q95]/r[kappa],d[betan]/d[t],-0.0006876923168574855,-0.25146295362625215
159310,1,r[q95]/r[kappa],d[li]/d[betan],-7.226287968054266e-06,-0.09368824756067227
159310,1,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[kappa],-0.02641996503752368,-0.9985087485345265
159310,1,d[pcdiamag3]/d[betan],d[kappa]/d[t],-0.016574154919604452,-0.883944762139152
159310,1,d[pcdiamag3]/d[betan],r[q95]/r[kappa],-0.00021903103112395287,-0.12370367383108645
159310,1,d[pcdiamag3]/d[betan],d[pcdiamag3]/d[betan],0.012141500090874854,0.9999999999999177
159310,1,d[pcdiamag3]/d[betan],d[kappa]/d[betan],-0.0043150905800372385,-0.3446386281987396
159310,1,d[pcdiamag3]/d[betan],d[betan]/d[t],0.016763022402586994,0.8938875077439397
159310,1,d[pcdiamag3]/d[betan],d[li]/d[betan],-5.6083934837359235e-05,-0.10603739007779693
159310,1,d[kappa]/d[betan],d[pcdiamag3]/d[kappa],0.00851596219658402,0.31210429443786425
159310,1,d[kappa]/d[betan],d[kappa]/d[t],-0.0025101072878460856,-0.12981724888613658
159310,1,d[kappa]/d[betan],r[q95]/r[kappa],-0.000423776707063211,-0.23209213086712227
159310,1,d[kappa]/d[betan],d[pcdiamag3]/d[betan],-0.0043150905800372385,-0.3446386281987396
159310,1,d[kappa]/d[betan],d[kappa]/d[betan],0.012911585631537336,0.9999999999999226
159310,1,d[kappa]/d[betan],d[betan]/d[t],0.002136455255558232,0.11047670886850385
159310,1,d[kappa]/d[betan],d[li]/d[betan],0.0002697652106611089,0.4945985959879759
159310,1,d[betan]/d[t],d[pcdiamag3]/d[kappa],-0.0371697081460653,-0.9095187923612552
159310,1,d[betan]/d[t],d[kappa]/d[t],-0.02891209368833566,-0.9983346972724606
159310,1,d[betan]/d[t],r[q95]/r[kappa],-0.0006876923168574855,-0.25146295362625215
