canonical_run_id,realization_index,shot,feature,feature_order,loading,absolute_loading,normalized_sigma_7,condition_number
D3D-SIR-62-ALIGNED-V1,0,155537,d[pcdiamag3]/d[kappa],source_matrix_order,0.3130661694878517,0.3130661694878517,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,d[kappa]/d[t],source_matrix_order,-0.2636176798334888,0.2636176798334888,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,r[q95]/r[kappa],source_matrix_order,-0.01623517682162285,0.01623517682162285,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,d[pcdiamag3]/d[betan],source_matrix_order,-0.488200068859142,0.488200068859142,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,d[kappa]/d[betan],source_matrix_order,0.7373609274008252,0.7373609274008252,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,d[betan]/d[t],source_matrix_order,0.22358538634768033,0.22358538634768033,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,0,155537,d[li]/d[betan],source_matrix_order,0.014171871974633026,0.014171871974633026,0.020566151670785723,48.623583838511834
D3D-SIR-62-ALIGNED-V1,1,159310,d[pcdiamag3]/d[kappa],source_matrix_order,0.5679074648180416,0.5679074648180416,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,d[kappa]/d[t],source_matrix_order,0.5135260719861299,0.5135260719861299,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,r[q95]/r[kappa],source_matrix_order,-0.029008784253517772,0.029008784253517772,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,d[pcdiamag3]/d[betan],source_matrix_order,-0.25137082705603964,0.25137082705603964,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,d[kappa]/d[betan],source_matrix_order,-0.20284578439186773,0.20284578439186773,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,d[betan]/d[t],source_matrix_order,-0.5554249764579399,0.5554249764579399,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,1,159310,d[li]/d[betan],source_matrix_order,0.009998290697986467,0.009998290697986467,0.026341147975928642,37.96341757442884
D3D-SIR-62-ALIGNED-V1,2,160715,d[pcdiamag3]/d[kappa],source_matrix_order,0.3643257153039026,0.3643257153039026,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,d[kappa]/d[t],source_matrix_order,-0.19520096903160258,0.19520096903160258,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,r[q95]/r[kappa],source_matrix_order,-0.013713568916013566,0.013713568916013566,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,d[pcdiamag3]/d[betan],source_matrix_order,-0.5016440103065934,0.5016440103065934,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,d[kappa]/d[betan],source_matrix_order,0.7322305858746708,0.7322305858746708,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,d[betan]/d[t],source_matrix_order,0.2022368039342621,0.2022368039342621,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,2,160715,d[li]/d[betan],source_matrix_order,-0.016346989099464613,0.016346989099464613,0.02624120659139824,38.10800378088544
D3D-SIR-62-ALIGNED-V1,3,160717,d[pcdiamag3]/d[kappa],source_matrix_order,0.15319226651207346,0.15319226651207346,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,d[kappa]/d[t],source_matrix_order,-0.41105964551952234,0.41105964551952234,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,r[q95]/r[kappa],source_matrix_order,0.006166136262820282,0.006166136262820282,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,d[pcdiamag3]/d[betan],source_matrix_order,-0.25749703244357874,0.25749703244357874,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,d[kappa]/d[betan],source_matrix_order,0.7773198709538145,0.7773198709538145,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,d[betan]/d[t],source_matrix_order,0.3697385469051298,0.3697385469051298,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,3,160717,d[li]/d[betan],source_matrix_order,-0.016928659292014682,0.016928659292014682,0.029104688863503547,34.358724970050154
D3D-SIR-62-ALIGNED-V1,4,160719,d[pcdiamag3]/d[kappa],source_matrix_order,0.22361269275645115,0.22361269275645115,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,d[kappa]/d[t],source_matrix_order,-0.3435384521641627,0.3435384521641627,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,r[q95]/r[kappa],source_matrix_order,-0.005608571871826307,0.005608571871826307,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,d[pcdiamag3]/d[betan],source_matrix_order,-0.347153006956548,0.347153006956548,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,d[kappa]/d[betan],source_matrix_order,0.7887089023462622,0.7887089023462622,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,d[betan]/d[t],source_matrix_order,0.2987587968513214,0.2987587968513214,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,4,160719,d[li]/d[betan],source_matrix_order,-0.010652599173482638,0.010652599173482638,0.028160223196454837,35.51108217515451
D3D-SIR-62-ALIGNED-V1,5,160720,d[pcdiamag3]/d[kappa],source_matrix_order,0.1778508947234626,0.1778508947234626,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,d[kappa]/d[t],source_matrix_order,-0.40101718071291526,0.40101718071291526,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,r[q95]/r[kappa],source_matrix_order,0.0013510897779648121,0.0013510897779648121,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,d[pcdiamag3]/d[betan],source_matrix_order,-0.27081445352459255,0.27081445352459255,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,d[kappa]/d[betan],source_matrix_order,0.7687584750414899,0.7687584750414899,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,d[betan]/d[t],source_matrix_order,0.37837192053950564,0.37837192053950564,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,5,160720,d[li]/d[betan],source_matrix_order,-0.007555338301235018,0.007555338301235018,0.027514804064433993,36.34407127371165
D3D-SIR-62-ALIGNED-V1,6,160721,d[pcdiamag3]/d[kappa],source_matrix_order,0.30893928431772866,0.30893928431772866,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,d[kappa]/d[t],source_matrix_order,-0.25372942803062837,0.25372942803062837,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,r[q95]/r[kappa],source_matrix_order,-0.01590896280868696,0.01590896280868696,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,d[pcdiamag3]/d[betan],source_matrix_order,-0.4939508434835229,0.4939508434835229,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,d[kappa]/d[betan],source_matrix_order,0.7498072208839872,0.7498072208839872,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,d[betan]/d[t],source_matrix_order,0.1828100042466552,0.1828100042466552,0.025023975297866208,39.96167627632169
D3D-SIR-62-ALIGNED-V1,6,160721,d[li]/d[betan],source_matrix_order,-0.0175213851717814,0.0175213851717814,0.025023975297866208,39.96167627632169
