realization_index,shot,singular_index,sigma,normalized_sigma
0,155537,1,60.69979433177518,1.0
0,155537,2,45.84788549511445,0.7553219248901797
0,155537,3,28.847001815716297,0.475240519894405
0,155537,4,16.12273373691424,0.265614305853987
0,155537,5,10.013358307282346,0.16496527570671757
0,155537,6,4.425896133259294,0.07291451613605257
0,155537,7,1.248361176612788,0.020566151670785723
1,159310,1,60.70800141975993,1.0
1,159310,2,41.50647836126091,0.6837068819687895
1,159310,3,30.28516402668589,0.49886610197034637
1,159310,4,22.76904203570149,0.37505833668064653
1,159310,5,12.006624067805756,0.19777663219032776
1,159310,6,3.0682537377383468,0.050541175231963026
1,159310,7,1.5991184487207823,0.026341147975928642
2,160715,1,60.47210603427802,1.0
2,160715,2,45.79187049997376,0.7572395522989903
2,160715,3,28.608633079398807,0.47308808896422894
2,160715,4,16.899349539247783,0.27945693721446635
2,160715,5,11.354060651847023,0.18775699072579158
2,160715,6,3.279369629215831,0.05422945956863074
2,160715,7,1.5868610274624295,0.02624120659139824
3,160717,1,60.07675552588079,1.0
3,160717,2,45.1946929519851,0.7522825185277429
3,160717,3,30.014608814206635,0.49960435698423294
3,160717,4,17.791389559862097,0.2961443141215848
3,160717,5,10.875551048666853,0.1810276029966651
3,160717,6,3.078631746551498,0.05124497352766059
3,160717,7,1.7485152775095278,0.029104688863503547
4,160719,1,60.33914156392709,1.0
4,160719,2,44.65853322410489,0.7401254321258586
4,160719,3,30.19279384561919,0.5003848756056802
4,160719,4,18.02893014354382,0.2987932820430141
4,160719,5,10.823043586339468,0.17937019496495243
4,160719,6,2.8514651575102494,0.04725730402526902
4,160719,7,1.699163693922672,0.028160223196454837
5,160720,1,60.204917199194064,1.0
5,160720,2,45.55368874326808,0.7566439896021963
5,160720,3,30.474660051638168,0.5061822434006457
5,160720,4,15.581507982256104,0.2588078965494315
5,160720,5,10.76506935545183,0.17880714493526348
5,160720,6,3.1796685961326596,0.05281410130691492
5,160720,7,1.6565265004512968,0.027514804064433993
6,160721,1,61.22507089331641,1.0
6,160721,2,44.778985276822596,0.7313831511089497
6,160721,3,29.44907857527807,0.4809970514626689
6,160721,4,16.169747226979137,0.2641033647009512
6,160721,5,10.236101440617121,0.1671880700383891
6,160721,6,3.2402361973070057,0.05292335558015211
6,160721,7,1.5320946616444573,0.025023975297866208
7,161136,1,58.34506626962576,1.0
7,161136,2,49.15913998299251,0.8425586450757806
7,161136,3,25.93176844719877,0.44445520598712146
7,161136,4,19.574679315255583,0.3354984502853516
7,161136,5,10.770236710035922,0.1845955005049479
7,161136,6,2.5585542113999535,0.043852109098244836
7,161136,7,1.0311714641216994,0.01767367028698575
8,161138,1,58.178264860674076,1.0
8,161138,2,48.49644817270388,0.8335836121761914
8,161138,3,27.453497194771693,0.47188580237856215
8,161138,4,18.60624846030384,0.31981442734434035
8,161138,5,12.46133627726598,0.2141922985690364
8,161138,6,2.668051170370131,0.04585993028082924
8,161138,7,1.0457645914796458,0.017975176708759772
9,161145,1,58.46179537069924,1.0
9,161145,2,48.41715810006528,0.8281845912028168
9,161145,3,26.640996662337606,0.4556992561280446
9,161145,4,20.374714585261195,0.34851332320650724
9,161145,5,10.06244078101434,0.17211994118910662
9,161145,6,3.3098864693915444,0.05661623028174128
9,161145,7,0.9578742310681014,0.01638461879239828
10,161414,1,61.96252018782844,1.0
10,161414,2,40.90188557874232,0.6601068751683353
10,161414,3,30.17465380682289,0.4869823518371066
10,161414,4,20.671588953750035,0.3336143993350781
10,161414,5,12.012398546888777,0.19386555792881427
10,161414,6,1.9378301928902382,0.0312742313743219
10,161414,7,1.3433618783630894,0.02168023305525542
11,165017,1,58.284713044634515,1.0
11,165017,2,42.817222074515,0.7346218217069288
11,165017,3,30.019157745258415,0.5150434166548903
11,165017,4,26.00692880253709,0.4462049728651996
11,165017,5,13.446364177211095,0.2307013876333894
11,165017,6,2.800350049570441,0.048046046781184786
11,165017,7,1.8495598571074174,0.031733189724911605
12,165022,1,60.23259332835112,1.0
12,165022,2,39.86924571211063,0.6619214533029979
12,165022,3,30.87840753000286,0.5126527984885648
12,165022,4,24.990288509359043,0.41489643942652993
12,165022,5,13.483078638878084,0.22385020955974144
12,165022,6,3.8607027478306284,0.06409657188068339
12,165022,7,2.79086736152017,0.04633483646148314
13,165026,1,60.25641516758004,1.0
13,165026,2,39.14064502915696,0.6495680986049752
13,165026,3,31.03796621267683,0.5150981206956416
13,165026,4,26.326341599195395,0.4369052079513659
13,165026,5,12.837094833229434,0.21304113093233298
13,165026,6,3.154426886968008,0.05235005896376648
13,165026,7,2.449758456341124,0.04065556255758102
14,165027,1,59.760140931064306,1.0
14,165027,2,45.92131317965784,0.7684271232330241
14,165027,3,29.701370556020308,0.49700971405475797
14,165027,4,18.191289107610903,0.3044050570194484
14,165027,5,9.683999132942994,0.1620477961073397
14,165027,6,2.9408370554088816,0.04921067804711595
14,165027,7,2.1061285951008726,0.03524303260145212
15,165028,1,58.57258198280788,1.0
15,165028,2,41.32060037544416,0.7054597727580544
15,165028,3,30.818383148133144,0.5261571558716482
15,165028,4,26.166555143627267,0.4467372661035777
15,165028,5,14.689196564347858,0.2507862222747736
15,165028,6,3.0421902940619545,0.05193881148956166
15,165028,7,1.54008410131961,0.026293601019187658
16,165029,1,59.56502731922405,1.0
16,165029,2,40.34141753913742,0.6772668351671788
16,165029,3,31.319411495614034,0.5258020168070332
16,165029,4,25.40041687298562,0.42643171700162846
16,165029,5,13.739376236539366,0.2306617969451533
16,165029,6,2.611081581854557,0.04383581607141906
16,165029,7,1.7037110211943058,0.028602539071520734
17,165031,1,59.58179645823235,1.0
17,165031,2,41.1345571221953,0.6903879971298144
17,165031,3,30.02624600614441,0.5039499946463215
17,165031,4,25.980492289907716,0.43604748151762085
17,165031,5,13.009296194128192,0.21834347011083974
17,165031,6,2.7510627565647106,0.04617287359727804
17,165031,7,2.141536496548728,0.0359427983687933
18,165042,1,59.31270848077921,1.0
18,165042,2,42.23957742176214,0.7121505408145413
18,165042,3,29.524981939893532,0.49778509017947403
18,165042,4,25.121648900679443,0.42354580568210487
18,165042,5,13.624019368350792,0.22969814930582327
18,165042,6,2.5305278474044206,0.04266417623171702
18,165042,7,1.7266832162641328,0.029111521973805652
19,165043,1,60.07866648071873,1.0
19,165043,2,40.750184471228074,0.6782804422649125
19,165043,3,29.67846599394886,0.493993421166791
19,165043,4,26.015172325274133,0.43301847143400357
19,165043,5,12.581850519586695,0.20942293257498706
19,165043,6,3.1215075282119127,0.05195700422567984
19,165043,7,2.080623186896272,0.03463164728471485
20,165860,1,60.20439149420299,1.0
20,165860,2,44.138200457826535,0.7331392172957442
20,165860,3,30.08496450074267,0.4997137875505231
20,165860,4,20.385567133163157,0.3386059825075395
20,165860,5,9.800984812294528,0.16279518103323498
20,165860,6,2.767887937694214,0.045974851152855364
20,165860,7,1.6892489098273546,0.02805856629229465
21,165861,1,62.170156766623506,1.0
21,165861,2,39.27197262549999,0.6316852758296957
21,165861,3,31.227759978732802,0.5022950174624242
21,165861,4,21.126015917300805,0.3398095970162079
21,165861,5,12.811659153178992,0.20607410081450886
21,165861,6,2.377908362656837,0.03824838936120287
21,165861,7,1.1441911770388977,0.018404186776205218
22,165955,1,60.29031503138207,1.0
22,165955,2,40.850358482247174,0.6775608729359585
22,165955,3,29.38278468966312,0.4873549702695849
22,165955,4,25.329495277954916,0.42012544244909833
22,165955,5,13.28368391139224,0.22032865319210673
22,165955,6,3.3998574295915294,0.05639143580228183
22,165955,7,1.8383333033552427,0.030491353418842824
23,165965,1,60.42368262660822,1.0
23,165965,2,40.731507473951616,0.6740983949233021
