realization_index,shot,feature_1,feature_2,correlation,abs_correlation
2,160715,r[q95]/r[kappa],d[li]/d[betan],0.2664774890100625,0.2664774890100625
2,160715,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.7008115639589809,0.7008115639589809
2,160715,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9109088934357077,0.9109088934357077
2,160715,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7123103545873631,0.7123103545873631
2,160715,d[kappa]/d[betan],d[betan]/d[t],-0.7772279592054802,0.7772279592054802
2,160715,d[kappa]/d[betan],d[li]/d[betan],0.8000415284679987,0.8000415284679987
2,160715,d[betan]/d[t],d[li]/d[betan],-0.790455997184997,0.790455997184997
3,160717,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6040520458210527,0.6040520458210527
3,160717,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.1230399585616003,0.1230399585616003
3,160717,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.6648937475715239,0.6648937475715239
3,160717,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.061579901210382454,0.061579901210382454
3,160717,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.4770436128524608,0.4770436128524608
3,160717,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.2841211193932539,0.2841211193932539
3,160717,d[kappa]/d[t],r[q95]/r[kappa],0.286331141980216,0.286331141980216
3,160717,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.08143390958429417,0.08143390958429417
3,160717,d[kappa]/d[t],d[kappa]/d[betan],0.7229939206694728,0.7229939206694728
3,160717,d[kappa]/d[t],d[betan]/d[t],-0.0993679345183687,0.0993679345183687
3,160717,d[kappa]/d[t],d[li]/d[betan],0.2194467730735593,0.2194467730735593
3,160717,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.042192613428278306,0.042192613428278306
3,160717,r[q95]/r[kappa],d[kappa]/d[betan],0.19843523640672234,0.19843523640672234
3,160717,r[q95]/r[kappa],d[betan]/d[t],-0.02351194574596707,0.02351194574596707
3,160717,r[q95]/r[kappa],d[li]/d[betan],0.25337172488172566,0.25337172488172566
3,160717,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.6937300504455383,0.6937300504455383
3,160717,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9154280564907769,0.9154280564907769
3,160717,d[pcdiamag3]/d[betan],d[li]/d[betan],0.7510269973998719,0.7510269973998719
3,160717,d[kappa]/d[betan],d[betan]/d[t],-0.7537721032283965,0.7537721032283965
3,160717,d[kappa]/d[betan],d[li]/d[betan],0.7211276548161162,0.7211276548161162
3,160717,d[betan]/d[t],d[li]/d[betan],-0.8253521356927387,0.8253521356927387
4,160719,d[pcdiamag3]/d[kappa],d[kappa]/d[t],-0.6103350704475373,0.6103350704475373
4,160719,d[pcdiamag3]/d[kappa],r[q95]/r[kappa],-0.09761054459704441,0.09761054459704441
4,160719,d[pcdiamag3]/d[kappa],d[pcdiamag3]/d[betan],0.587444040229213,0.587444040229213
4,160719,d[pcdiamag3]/d[kappa],d[kappa]/d[betan],-0.14757065530155314,0.14757065530155314
4,160719,d[pcdiamag3]/d[kappa],d[betan]/d[t],-0.3727916747609151,0.3727916747609151
4,160719,d[pcdiamag3]/d[kappa],d[li]/d[betan],0.1398777995470065,0.1398777995470065
4,160719,d[kappa]/d[t],r[q95]/r[kappa],0.311666818908068,0.311666818908068
4,160719,d[kappa]/d[t],d[pcdiamag3]/d[betan],0.17809957012753835,0.17809957012753835
4,160719,d[kappa]/d[t],d[kappa]/d[betan],0.7755374593490921,0.7755374593490921
4,160719,d[kappa]/d[t],d[betan]/d[t],-0.2186152405494641,0.2186152405494641
4,160719,d[kappa]/d[t],d[li]/d[betan],0.35287104248742845,0.35287104248742845
4,160719,r[q95]/r[kappa],d[pcdiamag3]/d[betan],0.07127857846379386,0.07127857846379386
4,160719,r[q95]/r[kappa],d[kappa]/d[betan],0.2206287221560678,0.2206287221560678
4,160719,r[q95]/r[kappa],d[betan]/d[t],-0.03874164820867683,0.03874164820867683
4,160719,r[q95]/r[kappa],d[li]/d[betan],0.3007701550792073,0.3007701550792073
4,160719,d[pcdiamag3]/d[betan],d[kappa]/d[betan],0.705487017675374,0.705487017675374
4,160719,d[pcdiamag3]/d[betan],d[betan]/d[t],-0.9118804062233892,0.9118804062233892
