realization_index,shot,feature,feature_order,canonical_estimate,bootstrap_mean,bootstrap_median,bootstrap_standard_deviation,bootstrap_variance,q025,q05,q25,q75,q95,q975,fraction_positive,fraction_negative,sign_stability,relative_bootstrap_sd,interval_contains_zero,primary_block_length
0,155537,d[pcdiamag3]/d[kappa],source_matrix_order,0.39704129453163856,0.5253759857922109,0.4235019749486844,0.2849590762522121,0.08120167513851403,0.14748898814682126,0.1803576713280918,0.301200524663364,0.8219708640843264,1.00792462645109,1.030180090024613,1.0,0.0,1.0,0.7177063952210749,False,58
0,155537,d[kappa]/d[t],source_matrix_order,1.3182993586331713,1.23429669690651,1.2452494222736863,0.13302515675453883,0.017695692329569628,1.0038723010390032,1.021212533160046,1.1176643548644063,1.3365846322469006,1.4388109050246687,1.4702550924938886,1.0,0.0,1.0,0.10090663845309066,False,58
0,155537,r[q95]/r[kappa],source_matrix_order,-0.016200319260866847,-0.016499223145438207,-0.0131834343963034,0.02276953937421061,0.0005184519233137272,-0.06863491208608626,-0.05555441207197422,-0.025335108284470234,-0.0066351041056112395,0.02016827779841566,0.026748642136898905,0.15,0.85,0.85,1.4054994230398181,True,58
0,155537,d[pcdiamag3]/d[betan],source_matrix_order,1.2638060173861883,1.0845674966611873,1.2195960233559329,0.42035720505264934,0.1767001798396751,0.34845574672671936,0.37982544661437384,0.6517789489042942,1.4194524680337501,1.6230933996144232,1.672577740077895,1.0,0.0,1.0,0.3326121250174409,False,58
0,155537,d[kappa]/d[betan],source_matrix_order,-1.6150993824471747,-1.311545102212543,-1.5081088871679613,0.5372212629103887,0.288606685323033,-2.0410019408407685,-1.9511540380414452,-1.7272068667695764,-0.7313223456357089,-0.40768194196695473,-0.3350861068364727,0.0,1.0,1.0,0.3326242760964955,False,58
0,155537,d[betan]/d[t],source_matrix_order,-0.4024227133882137,-0.2965171080918277,-0.33950684882975835,0.14739593642417964,0.021725562074360806,-0.5098881437330376,-0.4892022718492952,-0.416658230322355,-0.14560647065636698,-0.05796502028636695,-0.043130664480388894,0.003,0.997,0.997,0.3662714144119089,False,58
0,155537,d[li]/d[betan],source_matrix_order,0.00870535842590893,0.005381434035137813,0.005617422384993458,0.008544956127793692,7.301627522591897e-05,-0.012059473674992298,-0.008906100112296242,-0.00014615624202857875,0.011113572354768305,0.019395723533267174,0.02216910380712535,0.747,0.253,0.747,0.9815743028295275,True,58
1,159310,d[pcdiamag3]/d[kappa],source_matrix_order,0.20098599229570552,0.299660920715216,0.22897941753794498,0.24012876679014739,0.05766182464015699,0.032098899878367886,0.04623882012976571,0.13994279643334123,0.3747978471415191,0.8476807460945203,0.9909810980892226,1.0,0.0,1.0,1.1947537440164036,False,35
1,159310,d[kappa]/d[t],source_matrix_order,0.18329535813579687,0.3024768087226774,0.25678508991714455,0.17016494334054152,0.028956107942089707,0.10596537078834851,0.12138551885871676,0.18900401853633514,0.3462785130492981,0.6871738921498889,0.8175748103673836,1.0,0.0,1.0,0.9283647173130897,False,35
1,159310,r[q95]/r[kappa],source_matrix_order,-0.015542686558066149,-0.01402178771178884,-0.0133484080913473,0.01606892694044256,0.00025821041301728073,-0.049422998977643316,-0.03980889931188134,-0.020529041191406583,-0.007421394534419955,0.01274709554175558,0.020588940582416254,0.107,0.893,0.893,1.033857749135543,True,35
1,159310,d[pcdiamag3]/d[betan],source_matrix_order,0.5208682073706433,0.47819838275878995,0.5067445813571261,0.11018847530878559,0.01214150009087485,0.16504916989972196,0.22932588143786647,0.4425393572559101,0.5517934975088674,0.6011138854707545,0.6098938749071422,1.0,0.0,1.0,0.21154770774937437,False,35
