canonical_run_id,realization_index,shot,n_samples,n_features,feature_order,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,normalized_sigma_7,condition_number,log10_condition_number,rank_1e-12,rank_1e-10,rank_1e-8,rank_1e-6,effective_rank,stable_rank,correlation_matrix_min_eigenvalue,correlation_matrix_determinant,rmse,max_vif
D3D-SIR-62-ALIGNED-V1,0,155537,1000,7,source_matrix_order,60.69979433177518,45.84788549511445,28.847001815716297,16.12273373691424,10.013358307282346,4.425896133259294,1.248361176612788,0.020566151670785723,48.623583838511834,1.686846965694667,7,7,7,7,3.169765300319415,1.8998687568905002,0.0015584056272740358,5.127837390080184e-06,0.058156265351590034,353.0188304394928
D3D-SIR-62-ALIGNED-V1,1,159310,1000,7,source_matrix_order,60.70800141975993,41.50647836126091,30.28516402668589,22.76904203570149,12.006624067805756,3.0682537377383468,1.5991184487207823,0.026341147975928642,37.96341757442884,1.5793653019350884,7,7,7,7,3.433584815385254,1.899355106771291,0.0025571798130385984,1.0477523906147616e-05,0.04380499383006852,153.58532848182193
D3D-SIR-62-ALIGNED-V1,2,160715,1000,7,source_matrix_order,60.47210603427802,45.79187049997376,28.608633079398807,16.899349539247783,11.354060651847023,3.279369629215831,1.5868610274624295,0.02624120659139824,38.10800378088544,1.5810161996340812,7,7,7,7,3.215989439219933,1.9142023820179748,0.0025181279204792525,6.257229687805423e-06,0.07605122311542489,222.17708681577724
D3D-SIR-62-ALIGNED-V1,3,160717,1000,7,source_matrix_order,60.07675552588079,45.1946929519851,30.014608814206635,17.791389559862097,10.875551048666853,3.078631746551498,1.7485152775095278,0.029104688863503547,34.358724970050154,1.5360370390723075,7,7,7,7,3.274274709241289,1.9394790792590273,0.0030573056756845476,7.2049310033570966e-06,0.07233780360563141,198.06997885356358
D3D-SIR-62-ALIGNED-V1,4,160719,1000,7,source_matrix_order,60.33914156392709,44.65853322410489,30.19279384561919,18.02893014354382,10.823043586339468,2.8514651575102494,1.699163693922672,0.028160223196454837,35.51108217515451,1.5503639073209563,7,7,7,7,3.271502457920792,1.9226480222044127,0.0028871572587451312,5.916421039099924e-06,0.06361405675449143,217.11405475754282
D3D-SIR-62-ALIGNED-V1,5,160720,1000,7,source_matrix_order,60.204917199194064,45.55368874326808,30.474660051638168,15.581507982256104,10.76506935545183,3.1796685961326596,1.6565265004512968,0.027514804064433993,36.34407127371165,1.5604335754945875,7,7,7,7,3.209859453868982,1.9312305066710413,0.002744080046697022,5.4525780989603576e-06,0.11130570989024899,215.78071785658207
D3D-SIR-62-ALIGNED-V1,6,160721,1000,7,source_matrix_order,61.22507089331641,44.778985276822596,29.44907857527807,16.169747226979137,10.236101440617121,3.2402361973070057,1.5320946616444573,0.025023975297866208,39.96167627632169,1.6016436973289134,7,7,7,7,3.1563429448147113,1.8674089961569351,0.002347314052239748,4.400992942309024e-06,0.05693322154292766,246.86476873927003
D3D-SIR-62-ALIGNED-V1,7,161136,1000,7,source_matrix_order,58.34506626962576,49.15913998299251,25.93176844719877,19.574679315255583,10.770236710035922,2.5585542113999535,1.0311714641216994,0.01767367028698575,56.581342967361095,1.7526732512933396,7,7,7,7,3.2466868692379083,2.056315575565312,0.0010633145884193901,1.711480382817157e-06,0.06353020460330723,530.4444932685321
D3D-SIR-62-ALIGNED-V1,8,161138,1000,7,source_matrix_order,58.178264860674076,48.49644817270388,27.453497194771693,18.60624846030384,12.46133627726598,2.668051170370131,1.0457645914796458,0.017975176708759772,55.63227645560079,1.7453268315007378,7,7,7,7,3.3178948115579123,2.0681236978621143,0.0010936235807924345,2.5109599392770457e-06,0.044740860132538855,521.7485620710913
D3D-SIR-62-ALIGNED-V1,9,161145,1000,7,source_matrix_order,58.46179537069924,48.41715810006528,26.640996662337606,20.374714585261195,10.06244078101434,3.3098864693915444,0.9578742310681014,0.01638461879239828,61.03285115574094,1.785563658540611,7,7,7,7,3.2823113000950475,2.048112193013104,0.0009175230425440289,2.402573814974023e-06,0.0486620736368937,635.0897906762511
D3D-SIR-62-ALIGNED-V1,10,161414,1000,7,source_matrix_order,61.96252018782844,40.90188557874232,30.17465380682289,20.671588953750035,12.012398546888777,1.9378301928902382,1.3433618783630894,0.02168023305525542,46.124965421328525,1.6639360535881067,7,7,7,7,3.2992013912535323,1.8232234296934444,0.0018046211362388609,2.443734730074012e-06,0.02654490415499675,235.230583254064
D3D-SIR-62-ALIGNED-V1,11,165017,1000,7,source_matrix_order,58.284713044634515,42.817222074515,30.019157745258415,26.00692880253709,13.446364177211095,2.800350049570441,1.8495598571074174,0.031733189724911605,31.512747652183442,1.4984862717286618,7,7,7,7,3.6591929326584536,2.06057636797457,0.0034208716650239515,1.8411645695809856e-05,0.049312048765191685,164.45661112649395
D3D-SIR-62-ALIGNED-V1,12,165022,1000,7,source_matrix_order,60.23259332835112,39.86924571211063,30.87840753000286,24.990288509359043,13.483078638878084,3.8607027478306284,2.79086736152017,0.04633483646148314,21.58203365692835,1.3340923654798336,7,7,7,7,3.596281744678412,1.9294561615064314,0.007788940629598689,7.247375281146762e-05,0.08953757341333682,61.268259487109184
D3D-SIR-62-ALIGNED-V1,13,165026,1000,7,source_matrix_order,60.25641516758004,39.14064502915696,31.03796621267683,26.326341599195395,12.837094833229434,3.154426886968008,2.449758456341124,0.04065556255758102,24.5968801583716,1.390880025155049,7,7,7,7,3.591407125733721,1.9279308763138014,0.006001316494415199,3.654694135824703e-05,0.059817782432269984,74.68123935646845
D3D-SIR-62-ALIGNED-V1,14,165027,1000,7,source_matrix_order,59.760140931064306,45.92131317965784,29.701370556020308,18.191289107610903,9.683999132942994,2.9408370554088816,2.1061285951008726,0.03524303260145212,28.374402716944314,1.4529267283698009,7,7,7,7,3.2570193152877693,1.9600845887280354,0.004435777659101337,7.909571071007562e-06,0.06976534194906725,144.18779780955796
D3D-SIR-62-ALIGNED-V1,15,165028,1000,7,source_matrix_order,58.57258198280788,41.32060037544416,30.818383148133144,26.166555143627267,14.689196564347858,3.0421902940619545,1.54008410131961,0.026293601019187658,38.03206716608553,1.5801499313654512,7,7,7,7,3.7090799417765936,2.040371751456843,0.0023718590391379898,1.8042324900437254e-05,0.04329262624339236,227.66679372495935
D3D-SIR-62-ALIGNED-V1,16,165029,1000,7,source_matrix_order,59.56502731922405,40.34141753913742,31.319411495614034,25.40041687298562,13.739376236539366,2.611081581854557,1.7037110211943058,0.028602539071520734,34.96193108938675,1.5435954124721756,7,7,7,7,3.6188164593980776,1.9729466847426176,0.0029026312437392047,1.365088020117051e-05,0.05206050094790477,185.48437073244293
D3D-SIR-62-ALIGNED-V1,17,165031,1000,7,source_matrix_order,59.58179645823235,41.1345571221953,30.02624600614441,25.980492289907716,13.009296194128192,2.7510627565647106,2.141536496548728,0.0359427983687933,27.82198508139067,1.4443881134036143,7,7,7,7,3.593987770016721,1.971836279773657,0.004586178566050368,2.147322261696583e-05,0.04967556472784537,93.78696517079088
D3D-SIR-62-ALIGNED-V1,18,165042,1000,7,source_matrix_order,59.31270848077921,42.23957742176214,29.524981939893532,25.121648900679443,13.624019368350792,2.5305278474044206,1.7266832162641328,0.029111521973805652,34.35066022655199,1.5359350887024916,7,7,7,7,3.5841121171525794,1.989768390738017,0.0029814349293279157,1.223681201315991e-05,0.03893428001915411,170.56895526613067
D3D-SIR-62-ALIGNED-V1,19,165043,1000,7,source_matrix_order,60.07866648071873,40.750184471228074,29.67846599394886,26.015172325274133,12.581850519586695,3.1215075282119127,2.080623186896272,0.03463164728471485,28.875322960492372,1.4605268503608182,7,7,7,7,3.557161373654148,1.9393557010882645,0.004328992845851662,2.3858367503962782e-05,0.03685618234511297,112.8182800853987
D3D-SIR-62-ALIGNED-V1,20,165860,1000,7,source_matrix_order,60.20439149420299,44.138200457826535,30.08496450074267,20.385567133163157,9.800984812294528,2.767887937694214,1.6892489098273546,0.02805856629229465,35.639739735191554,1.5519345238726134,7,7,7,7,3.3148548393612725,1.9312642338435513,0.0028535618793519815,5.577684232737638e-06,0.06121993701562312,212.51539058879237
D3D-SIR-62-ALIGNED-V1,21,165861,1000,7,source_matrix_order,62.170156766623506,39.27197262549999,31.227759978732802,21.126015917300805,12.811659153178992,2.377908362656837,1.1441911770388977,0.018404186776205218,54.3354624770979,1.7350833679162792,7,7,7,7,3.3423161513764135,1.8110653228980618,0.0013091734496137794,3.1524223497778542e-06,0.03494720140370843,329.15955606911933
D3D-SIR-62-ALIGNED-V1,22,165955,1000,7,source_matrix_order,60.29031503138207,40.850358482247174,29.38278468966312,25.329495277954916,13.28368391139224,3.3998574295915294,1.8383333033552427,0.030491353418842824,32.79618278216628,1.515823298189883,7,7,7,7,3.5477232548960718,1.9257634230558611,0.0033794693342265787,2.3159693889707228e-05,0.03418861913501015,111.81254261662562
D3D-SIR-62-ALIGNED-V1,23,165965,1000,7,source_matrix_order,60.42368262660822,40.731507473951616,30.046463912878025,24.334017372943542,13.524201613196077,3.127172710255011,1.5183027134297573,0.02512760969589027,39.79686138485167,1.5998488224006044,7,7,7,7,3.5284229255909234,1.917271686633005,0.002305243129607298,1.3351604430972385e-05,0.036984575444760255,171.12542542507109
D3D-SIR-62-ALIGNED-V1,24,170394,1000,7,source_matrix_order,60.616333191295155,45.38241133261449,29.716243451072636,15.232749358910716,11.341202727149765,4.43063344758805,1.6588315644680336,0.027366082326904115,36.5415841425311,1.5627873708612623,7,7,7,7,3.207127595371524,1.9051041238991122,0.0027517221592752716,1.0773413230887109e-05,0.13197480505839876,192.4032464107122
D3D-SIR-62-ALIGNED-V1,25,170396,1000,7,source_matrix_order,59.71368780495492,46.42075745330489,29.41539109375842,16.515497062530798,11.297152140826247,3.3924221244719037,1.4925533186505404,0.024995162307270717,40.007741806466086,1.6021440387904395,7,7,7,7,3.245525289257303,1.9631353958726008,0.002227715409014288,5.933654041230007e-06,0.10855730909459967,255.05933061909778
D3D-SIR-62-ALIGNED-V1,26,170411,1000,7,source_matrix_order,60.657618564324935,45.1920637090451,29.571261820229775,15.916269432476819,11.56612090430857,3.757393202554084,1.627996647112826,0.026839112474987818,37.25905619762689,1.5712318496650546,7,7,7,7,3.217336734129567,1.9025116657869234,0.0026503730830106376,8.33245727901872e-06,0.07841888416309674,227.01578034142895
D3D-SIR-62-ALIGNED-V1,27,186997,1000,7,source_matrix_order,61.07368681568734,46.109228952796116,28.156226222195315,14.766071330639335,10.820170456460922,3.7659499207889215,1.369444773706523,0.02242282798219361,44.597407641628386,1.6493096147736466,7,7,7,7,3.112059019176469,1.8766780075482632,0.0018753789882319798,4.268439626527431e-06,0.06297609135611883,313.0580420694845
D3D-SIR-62-ALIGNED-V1,28,187017,1000,7,source_matrix_order,58.099877574270884,48.161713635777986,25.297747129475383,21.994482546154746,13.241203245074189,2.1950097417263805,0.9862870152396063,0.016975715895077487,58.90767766029672,1.7701719017175113,7,7,7,7,3.3861004720755363,2.0737080113724424,0.0009727620764297449,1.991956856004758e-06,0.04936402357206992,597.7829129373243
D3D-SIR-62-ALIGNED-V1,29,187018,1000,7,source_matrix_order,57.8599050504333,49.09337665447401,24.504664611236404,21.91462533659827,12.447419425116513,2.323202065617537,1.0034175011804498,0.017342190594779337,57.6628422190815,1.760896045087256,7,7,7,7,3.3384903148501976,2.0909449876487467,0.0010068466816761748,1.9591280734653613e-06,0.050506387645295726,574.4084387873052
D3D-SIR-62-ALIGNED-V1,30,187019,1000,7,source_matrix_order,58.16509115191156,48.60647923240231,23.888046624842463,21.5246312262458,14.55525640853742,2.7131861250799556,1.0329370144143768,0.01775871049039747,56.31039486457772,1.7505885727486794,7,7,7,7,3.375328883869924,2.069060615317615,0.001066958875746808,3.5163528385750534e-06,0.04252436561046223,513.3418849072708
